From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
P37558	P37558	reviewed	YABP_BACSU	Spore protein YabP	yabP BSU00600	Bacillus subtilis (strain 168)	100		10.1093/dnares/1.1.1; 10.1038/36786; 10.1073/pnas.140209597; 10.1099/00221287-147-4-919; 10.1128/jb.186.14.4441-4448.2004	3.0	Membrane;Reference proteome;Sporulation	KW-0472; KW-1185; KW-0749	PF07873;		IPR012504;IPR022476;IPR038705;	TIGR02892;			bsu:BSU00600;			sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; membrane [GO:0016020]; sporulation resulting in formation of a cellular spore [GO:0030435]	86871179;936966;
P37559	P37559	reviewed	YABQ_BACSU	Spore protein YabQ	yabQ BSU00610	Bacillus subtilis (strain 168)	211		10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.176.5.1451-1459.1994; 10.1073/pnas.140209597; 10.1099/00221287-147-4-919; 10.1128/jb.186.14.4441-4448.2004	3.0	Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF09578;		IPR019074;	TIGR02893;			bsu:BSU00610;			sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; membrane [GO:0016020]; sporulation resulting in formation of a cellular spore [GO:0030435]	936971;
P37471	P37471	reviewed	DIVIC_BACSU	Cell division protein DivIC	divIC divA BSU00620	Bacillus subtilis (strain 168)	125	Q07867	10.1128/jb.176.5.1451-1459.1994; 10.1093/dnares/1.1.1; 10.1038/36786	2.0	Reference proteome	KW-1185	PF04977;		IPR039076;IPR007060;			PTHR40027;PTHR40027:SF1;	bsu:BSU00620;			cell division [GO:0051301]	cell division [GO:0051301]	936786;
P37561	P37561	reviewed	YABS_BACSU	Uncharacterized protein YabS	yabS BSU00650	Bacillus subtilis (strain 168)	245		10.1093/dnares/1.1.1; 10.1038/36786	1.0	Reference proteome	KW-1185		cd00198;	IPR002035;IPR036465;				bsu:BSU00650;					86871172;936965;
P37562	P37562	reviewed	PKN1_BACSU	Probable serine/threonine-protein kinase YabT (EC 2.7.11.1)	yabT BSU00660	Bacillus subtilis (strain 168)	338	O34507; P45870; P16971; O31435; P96716	10.1093/dnares/1.1.1; 10.1038/36786	5.0	3D-structure;ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase	KW-0002; KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0808	PF00069;		IPR011009;IPR000719;IPR017441;		Protein kinase superfamily, Ser/Thr protein kinase family	PTHR44167;PTHR44167:SF31;	bsu:BSU00660;				3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]	936964;
P37569	P37569	reviewed	MCSA_BACSU	Protein-arginine kinase activator protein	mcsA yacH BSU00840	Bacillus subtilis (strain 168)	185		10.1093/dnares/1.1.1; 10.1038/36786; 10.1046/j.1365-2958.1999.01152.x; 10.1093/emboj/20.4.852; 10.1038/sj.emboj.7600780; 10.1111/j.1365-2958.2009.06636.x; 10.1073/pnas.1117483109; 10.1074/mcp.m113.032292	4.0	3D-structure;Phosphoprotein;Reference proteome	KW-0002; KW-0597; KW-1185	PF02151;		IPR001943;IPR036876;IPR025542;			PTHR38430;PTHR38430:SF1;	bsu:BSU00840;			proteolysis [GO:0006508]; stress response to cadmium ion [GO:1990170]; stress response to copper ion [GO:1990169]	cadmium ion binding [GO:0046870]; cobalt ion binding [GO:0050897]; copper ion binding [GO:0005507]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]; stress response to cadmium ion [GO:1990170]; stress response to copper ion [GO:1990169]	936845;
P37570	P37570	reviewed	MCSB_BACSU	Protein-arginine kinase (EC 2.7.14.1)	mcsB yacI BSU00850	Bacillus subtilis (strain 168)	363		10.1093/dnares/1.1.1; 10.1038/36786; 10.1073/pnas.91.13.5788; 10.1046/j.1365-2958.1999.01152.x; 10.1093/emboj/20.4.852; 10.1038/sj.emboj.7600780; 10.1111/j.1365-2958.2009.06636.x; 10.1128/jb.00079-11; 10.1073/pnas.1117483109; 10.1074/mcp.m113.032292; 10.1038/s41589-019-0265-y	5.0	3D-structure;Allosteric enzyme;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase	KW-0002; KW-0021; KW-0067; KW-0963; KW-0418; KW-0547; KW-0597; KW-1185; KW-0808	PF00217;	cd07930;	IPR023660;IPR000749;IPR022415;IPR022414;IPR014746;		ATP:guanido phosphotransferase family	PTHR11547:SF38;PTHR11547;	bsu:BSU00850;			phosphocreatine biosynthetic process [GO:0046314]	cytoplasm [GO:0005737]; extracellular space [GO:0005615]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; phosphocreatine biosynthetic process [GO:0046314]	936939;
P37571	P37571	reviewed	CLPC_BACSU	Negative regulator of genetic competence ClpC/MecB	clpC mecB BSU00860	Bacillus subtilis (strain 168)	810	P37958	10.1073/pnas.91.13.5788; 10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.176.11.3360-3367.1994	3.0	3D-structure;ATP-binding;Chaperone;Competence;Nucleotide-binding;Reference proteome;Repeat;Repressor;Transcription;Transcription regulation	KW-0002; KW-0067; KW-0143; KW-0178; KW-0547; KW-1185; KW-0677; KW-0678; KW-0804; KW-0805	PF00004;PF07724;PF17871;PF02861;PF10431;	cd00009;cd19499;	IPR003593;IPR003959;IPR019489;IPR036628;IPR004176;IPR001270;IPR018368;IPR028299;IPR041546;IPR050130;IPR027417;IPR001943;		ClpA/ClpB family, ClpC subfamily	PTHR11638;PTHR11638:SF18;	bsu:BSU00860;			establishment of competence for transformation [GO:0030420]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; establishment of competence for transformation [GO:0030420]	938481;
P37573	P37573	reviewed	DISA_BACSU	DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (DNA integrity scanning protein A) (Diadenylate cyclase) (DAC) (EC 2.7.7.85)	disA comY orf6 yacK BSU00880	Bacillus subtilis (strain 168)	360		10.1093/dnares/1.1.1; 10.1038/36786; 10.1099/00221287-143-4-1309; 10.1016/j.cell.2006.03.039; 10.1128/jb.00130-07; 10.1016/j.molcel.2008.02.020; 10.1038/embor.2011.77; 10.1111/j.1365-2958.2011.07953.x; 10.1074/jbc.m112.395491; 10.1074/jbc.m113.464883; 10.1016/j.dnarep.2014.12.007; 10.1128/jb.00564-15; 10.3390/cells10061357	5.0	ATP-binding;Cytoplasm;DNA damage;DNA repair;DNA-binding;Magnesium;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	KW-0067; KW-0963; KW-0227; KW-0234; KW-0238; KW-0460; KW-0547; KW-0548; KW-1185; KW-0808	PF02457;PF10635;		IPR050338;IPR038331;IPR036888;IPR018906;IPR003390;IPR023763;IPR010994;		DisA family	PTHR34185;PTHR34185:SF3;	bsu:BSU00880;			DNA repair [GO:0006281]	cytoplasm [GO:0005737]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408]; four-way junction DNA binding [GO:0000400]; DNA repair [GO:0006281]	936868;
P50862	P50862	reviewed	YBAK_BACSU	Uncharacterized protein YbaK	ybaK ybxH BSU01520	Bacillus subtilis (strain 168)	147		10.1128/jb.177.19.5582-5589.1995; 10.1099/13500872-142-11-3039; 10.1038/36786	1.0	Reference proteome	KW-1185	PF10730;		IPR019667;				bsu:BSU01520;					938916;
P50864	P50864	reviewed	CWLD_BACSU	Germination-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	cwlD BSU01530	Bacillus subtilis (strain 168)	237		10.1128/jb.177.19.5582-5589.1995; 10.1099/13500872-142-11-3039; 10.1038/36786; 10.1128/jb.186.1.80-89.2004	3.0	Cell wall biogenesis/degradation;Hydrolase;Reference proteome;Secreted;Signal	KW-0961; KW-0378; KW-1185; KW-0964; KW-0732	PF01520;	cd02696;	IPR002508;IPR050695;IPR014234;	TIGR02883;	N-acetylmuramoyl-L-alanine amidase 3 family	PTHR30404;PTHR30404:SF0;	bsu:BSU01530;			cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	extracellular region [GO:0005576]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	938917;
P16450	P16450	reviewed	GERD_BACSU	Spore germination protein GerD	gerD BSU01550	Bacillus subtilis (strain 168)	185		10.1099/00221287-135-12-3431; 10.1099/13500872-142-11-3039; 10.1038/36786; 10.1128/jb.178.4.1178-1186.1996; 10.1128/jb.177.19.5582-5589.1995	2.0	Cell membrane;Germination;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal	KW-1003; KW-0309; KW-0449; KW-0472; KW-0564; KW-1185; KW-0732	PF17898;		IPR041262;	NF040801;			bsu:BSU01550;				plasma membrane [GO:0005886]; spore wall [GO:0031160]	938910;
P16449	P16449	reviewed	KBAA_BACSU	KinB-signaling pathway activation protein	kbaA ybaM ybxC BSU01560	Bacillus subtilis (strain 168)	198		10.1128/jb.178.4.1178-1186.1996; 10.1099/13500872-142-11-3039; 10.1038/36786; 10.1099/00221287-135-12-3431	3.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF14089;		IPR024164;				bsu:BSU01560;			positive regulation of sporulation resulting in formation of a cellular spore [GO:0045881]; sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; positive regulation of sporulation resulting in formation of a cellular spore [GO:0045881]; sporulation resulting in formation of a cellular spore [GO:0030435]	938913;
P50865	P50865	reviewed	PDAB_BACSU	Probable polysaccharide deacetylase PdaB (EC 3.-.-.-)	pdaB ybaN ybxG BSU01570	Bacillus subtilis (strain 168)	254		10.1099/13500872-142-11-3039; 10.1038/36786; 10.1128/jb.178.4.1178-1186.1996; 10.1093/jb/mvh151	3.0	Hydrolase;Reference proteome;Signal;Sporulation	KW-0378; KW-1185; KW-0732; KW-0749	PF01522;	cd10949;	IPR011330;IPR002509;IPR014132;IPR050248;	TIGR02764;	Polysaccharide deacetylase family	PTHR10587;PTHR10587:SF128;	bsu:BSU01570;			carbohydrate metabolic process [GO:0005975]; sporulation resulting in formation of a cellular spore [GO:0030435]	intracellular immature spore [GO:0042763]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; carbohydrate metabolic process [GO:0005975]; sporulation resulting in formation of a cellular spore [GO:0030435]	938911;
P40407	P40407	reviewed	NAMZ_BACSU	Peptidoglycan beta-N-acetylmuramidase NamZ (EC 3.2.1.92) (Exo-beta-N-acetylmuramidase NamZ) (ORF2)	namZ ybbC yzbB BSU01650	Bacillus subtilis (strain 168)	414		10.1016/0005-2728(94)90131-7; 10.1099/00221287-143-8-2763; 10.1038/36786; 10.1016/j.jbc.2021.100519	4.0	Cell wall biogenesis/degradation;Hydrolase;Reference proteome;Secreted;Signal	KW-0961; KW-0378; KW-1185; KW-0964; KW-0732	PF20732;PF07075;		IPR008302;IPR048503;IPR048502;		Glycoside hydrolase 171 family	PTHR42915;PTHR42915:SF1;	bsu:BSU01650;			cell wall organization [GO:0071555]	extracellular region [GO:0005576]; peptidoglycan beta-N-acetylmuramidase activity [GO:0033922]; cell wall organization [GO:0071555]	938889;
P54379	P54379	reviewed	CSGA_BACSU	Sigma-G-dependent sporulation-specific SASP protein	csgA BSU02070	Bacillus subtilis (strain 168)	82		10.1016/s0378-1119(96)00603-8; 10.1038/36786	1.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF17334;		IPR020255;				bsu:BSU02070;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	86875380;938448;
P54426	P54426	reviewed	YBXH_BACSU	Uncharacterized protein YbxH (ORF3)	ybxH BSU02080	Bacillus subtilis (strain 168)	63		10.1016/s0378-1119(96)00603-8; 10.1038/36786	1.0	Reference proteome	KW-1185	PF17340;		IPR035314;				bsu:BSU02080;					86875379;938445;
O31442	O31442	reviewed	YBEF_BACSU	Uncharacterized protein YbeF	ybeF BSU02150	Bacillus subtilis (strain 168)	82		10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF10852;		IPR020258;				bsu:BSU02150;				plasma membrane [GO:0005886]	938444;
O31451	O31451	reviewed	YBFJ_BACSU	Uncharacterized protein YbfJ	ybfJ BSU02250	Bacillus subtilis (strain 168)	132		10.1038/36786	1.0	Reference proteome	KW-1185	PF10794;		IPR019730;IPR013783;				bsu:BSU02250;					938435;
P42249	P42249	reviewed	CWLJ_BACSU	Cell wall hydrolase CwlJ	cwlJ ycbQ BSU02600	Bacillus subtilis (strain 168)	142		10.1099/13500872-141-2-269; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.180.6.1375-1380.1998; 10.1128/jb.183.16.4886-4893.2001; 10.1128/jb.184.4.1219-1224.2002; 10.1099/00221287-148-8-2383	3.0	Cell wall biogenesis/degradation;Germination;Hydrolase;Reference proteome;Secreted;Sporulation	KW-0961; KW-0309; KW-0378; KW-1185; KW-0964; KW-0749	PF07486;		IPR011105;IPR042047;		CwlJ family		bsu:BSU02600;			cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular region [GO:0005576]; hydrolase activity [GO:0016787]; cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	938399;
P94381	P94381	reviewed	YCGF_BACSU	Putative amino acid efflux protein YcgF	ycgF BSU03090	Bacillus subtilis (strain 168)	209		10.1099/13500872-142-11-3047; 10.1038/36786	2.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF01810;		IPR001123;		Rht family	PTHR30086:SF6;PTHR30086;	bsu:BSU03090;			amino acid transport [GO:0006865]	plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transport [GO:0006865]	938349;
P94382	P94382	reviewed	YCGG_BACSU	Uncharacterized protein YcgG	ycgG BSU03100	Bacillus subtilis (strain 168)	253		10.1099/13500872-142-11-3047; 10.1038/36786; 10.1099/mic.0.027839-0	1.0	Reference proteome	KW-1185	PF08892;		IPR014988;		DcsA family	PTHR40045;PTHR40045:SF1;	bsu:BSU03100;					938350;
P94383	P94383	reviewed	YCGH_BACSU	Uncharacterized transporter YcgH	ycgH BSU03110	Bacillus subtilis (strain 168)	446		10.1099/13500872-142-11-3047; 10.1038/36786; 10.1099/mic.0.027839-0	2.0	Amino-acid transport;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0029; KW-1003; KW-0472; KW-1185; KW-0812; KW-1133; KW-0813	PF00324;		IPR004841;		Amino acid-polyamine-organocation (APC) superfamily	PTHR43495;PTHR43495:SF5;	bsu:BSU03110;			amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	938347;
O31473	O31473	reviewed	YCGI_BACSU	Uncharacterized protein YcgI	ycgI BSU03120	Bacillus subtilis (strain 168)	198		10.1038/36786; 10.1101/gr.9.11.1116; 10.1099/mic.0.027839-0	1.0	Reference proteome	KW-1185	PF09347;		IPR018959;			PTHR31527;PTHR31527:SF0;	bsu:BSU03120;					86875271;938342;
P94389	P94389	reviewed	YCGL_BACSU	Uncharacterized protein YcgL	ycgL BSU03190	Bacillus subtilis (strain 168)	260		10.1099/13500872-142-11-3047; 10.1038/36786	1.0	Coiled coil;Reference proteome	KW-0175; KW-1185	PF10127;		IPR018775;			PTHR34817;PTHR34817:SF2;	bsu:BSU03190;					938336;
P42401	P42401	reviewed	YCKC_BACSU	Uncharacterized protein YckC (ORF3)	yckC BSU03390	Bacillus subtilis (strain 168)	151		10.1099/13500872-142-11-3047; 10.1038/36786; 10.1099/13500872-141-2-277	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF06271;		IPR051791;IPR010432;			PTHR36115:SF9;PTHR36115;	bsu:BSU03390;				plasma membrane [GO:0005886]	938315;
P42402	P42402	reviewed	YCKD_BACSU	Uncharacterized protein YckD (ORF4)	yckD BSU03400	Bacillus subtilis (strain 168)	110		10.1099/13500872-141-2-277; 10.1099/13500872-142-11-3047; 10.1038/36786	1.0	Reference proteome;Signal	KW-1185; KW-0732	PF10925;		IPR024485;				bsu:BSU03400;					938319;
P94409	P94409	reviewed	YCLG_BACSU	Uncharacterized protein YclG	yclG BSU03680	Bacillus subtilis (strain 168)	584		10.1099/13500872-142-11-3047; 10.1038/36786	1.0	Reference proteome;Repeat	KW-1185; KW-0677	PF13229;PF12708;		IPR039448;IPR006633;IPR006626;IPR012334;IPR011050;IPR024535;				bsu:BSU03680;					938292;
O31479	O31479	reviewed	YCZF_BACSU	Uncharacterized protein YczF	yczF BSU03690	Bacillus subtilis (strain 168)	73		10.1038/36786	1.0	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0732; KW-0812; KW-1133							bsu:BSU03690;				membrane [GO:0016020]	938290;
P49939	P49939	reviewed	GERKA_BACSU	Spore germination protein KA	gerKA BSU03700	Bacillus subtilis (strain 168)	544		10.1099/13500872-142-11-3047; 10.1038/36786	2.0	Cell membrane;Germination;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0309; KW-0472; KW-1185; KW-0812; KW-1133	PF03323;		IPR004995;IPR050768;		GerABKA family	PTHR22550:SF5;PTHR22550;	bsu:BSU03700;			spore germination [GO:0009847]	plasma membrane [GO:0005886]; spore germination [GO:0009847]	938285;
P49941	P49941	reviewed	GERKC_BACSU	Spore germination protein KC	gerKC BSU03710	Bacillus subtilis (strain 168)	407		10.1099/13500872-142-11-3047; 10.1038/36786	2.0	Cell membrane;Germination;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal	KW-1003; KW-0309; KW-0449; KW-0472; KW-0564; KW-1185; KW-0732	PF05504;		IPR008844;IPR046953;IPR038501;	TIGR02887;	GerABKC lipoprotein family	PTHR35789;PTHR35789:SF1;	bsu:BSU03710;			spore germination [GO:0009847]	plasma membrane [GO:0005886]; spore germination [GO:0009847]	938287;
