Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
Q54DD0	reviewed	AMPD_DICDI	AMP deaminase (AMPD1) (EC 3.5.4.6)	amdA DDB_G0292266	Dictyostelium discoideum (Social amoeba)	790		10.1038/nature03481; 10.1006/dbio.2001.0491; 10.1111/j.1432-0436.1991.tb00876.x; 10.1099/mic.0.2006/000562-0	5.0	Cytoplasm;Developmental protein;Differentiation;Hydrolase;Metal-binding;Nucleotide metabolism;Reference proteome;Sporulation;Zinc	KW-0963; KW-0217; KW-0221; KW-0378; KW-0479; KW-0546; KW-1185; KW-0749; KW-0862	PF19326;	cd01319;	IPR006650;IPR006329;IPR032466;	TIGR01429;	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family	PTHR11359;PTHR11359:SF0;	ddi:DDB_G0292266;			AMP metabolic process [GO:0046033]; cell fate specification [GO:0001708]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine ribonucleoside monophosphate metabolic process [GO:0009167]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; AMP deaminase activity [GO:0003876]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; AMP metabolic process [GO:0046033]; cell fate specification [GO:0001708]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine ribonucleoside monophosphate metabolic process [GO:0009167]; sporulation resulting in formation of a cellular spore [GO:0030435]	8628625;
Q54MY9	reviewed	MKCA_DICDI	Probable serine/threonine-protein kinase mkcA (EC 2.7.11.1) (MAP kinase cascade A)	mkcA DG1023 DDB_G0285427	Dictyostelium discoideum (Social amoeba)	860		10.1073/pnas.93.26.15260; 10.1038/nature03481	5.0	ATP-binding;Coiled coil;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0175; KW-0418; KW-0460; KW-0479; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF00069;	cd05122;	IPR011009;IPR000719;IPR017441;IPR008271;IPR050285;		Protein kinase superfamily, STE Ser/Thr protein kinase family	PTHR48015;PTHR48015:SF35;	ddi:DDB_G0285427;			regulation of cell differentiation [GO:0045595]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; regulation of cell differentiation [GO:0045595]; sporulation resulting in formation of a cellular spore [GO:0030435]	8625202;
Q54R82	reviewed	MKKA_DICDI	Mitogen-activated protein kinase kinase kinase A (EC 2.7.11.25) (MAPK/ERK kinase 1) (MEK kinase 1) (MEKK 1) (MAPK/ERK kinase A) (MEK kinase A) (MEKK A) (MEKKalpha)	mkkA DDB_G0283265	Dictyostelium discoideum (Social amoeba)	942		10.1101/gad.12.22.3564; 10.1038/nature03481	5.0	ATP-binding;Kinase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;Serine/threonine-protein kinase;Sporulation;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation;WD repeat	KW-0067; KW-0418; KW-0460; KW-0472; KW-0479; KW-0547; KW-1185; KW-0677; KW-0723; KW-0749; KW-0808; KW-0812; KW-1133; KW-0832; KW-0853	PF12937;PF00564;PF00069;PF00400;	cd05992;cd06606;cd00200;	IPR036047;IPR001810;IPR020472;IPR011009;IPR053793;IPR000270;IPR000719;IPR017441;IPR008271;IPR015943;IPR019775;IPR036322;IPR001680;		Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	PTHR11584:SF369;PTHR11584;	ddi:DDB_G0283265;			anatomical structure morphogenesis [GO:0009653]; intracellular signal transduction [GO:0035556]; sorocarp development [GO:0030587]; sporulation resulting in formation of a cellular spore [GO:0030435]	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; JUN kinase kinase kinase activity [GO:0004706]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; anatomical structure morphogenesis [GO:0009653]; intracellular signal transduction [GO:0035556]; sorocarp development [GO:0030587]; sporulation resulting in formation of a cellular spore [GO:0030435]	8624035;
Q54U87	reviewed	DHKA_DICDI	Hybrid signal transduction histidine kinase A (EC 2.7.13.3)	dhkA DDB_G0280961	Dictyostelium discoideum (Social amoeba)	2150		10.1002/j.1460-2075.1996.tb00763.x; 10.1038/nature03481; 10.1128/mcb.19.7.4750; 10.1073/pnas.0501820102	5.0	ATP-binding;Cell membrane;Coiled coil;Cytokinin signaling pathway;Developmental protein;Differentiation;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Sporulation;Transferase;Transmembrane;Transmembrane helix	KW-0067; KW-1003; KW-0175; KW-0932; KW-0217; KW-0221; KW-0418; KW-0472; KW-0547; KW-0597; KW-1185; KW-0749; KW-0808; KW-0812; KW-1133	PF03924;PF02518;PF00512;PF08447;PF00072;	cd16922;cd00082;cd00130;cd17546;	IPR050956;IPR006189;IPR042240;IPR011006;IPR036890;IPR003594;IPR005467;IPR003661;IPR036097;IPR001610;IPR000014;IPR035965;IPR013655;IPR004358;IPR001789;			PTHR43719:SF10;PTHR43719;	ddi:DDB_G0280961;			adenylate cyclase-activating G protein-coupled cAMP receptor signaling pathway [GO:0140582]; cell differentiation [GO:0030154]; cytokinin-activated signaling pathway [GO:0009736]; sorocarp development [GO:0030587]; sorocarp morphogenesis [GO:0031288]; sorocarp stalk development [GO:0031150]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane receptor histidine kinase activity [GO:0009784]; adenylate cyclase-activating G protein-coupled cAMP receptor signaling pathway [GO:0140582]; cell differentiation [GO:0030154]; cytokinin-activated signaling pathway [GO:0009736]; sorocarp development [GO:0030587]; sorocarp morphogenesis [GO:0031288]; sorocarp stalk development [GO:0031150]; sporulation resulting in formation of a cellular spore [GO:0030435]	8622946;
Q54XG7	reviewed	DIMA_DICDI	Basic-leucine zipper transcription factor A (DIF insensitive mutant A)	dimA bzpA DDB_G0278971	Dictyostelium discoideum (Social amoeba)	1230		10.1242/dev.00939; 10.1038/nature03481; 10.1242/dev.02240	5.0	Coiled coil;Differentiation;DNA-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0175; KW-0221; KW-0238; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805		cd14686;	IPR004827;IPR046347;		BZIP family	PTHR14312:SF1;PTHR14312;	ddi:DDB_G0278971;			cell differentiation [GO:0030154]; chemotaxis [GO:0006935]; negative regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043944]; positive regulation of sorocarp stalk cell differentiation [GO:0031287]; programmed cell death [GO:0012501]; regulation of cell differentiation [GO:0045595]; regulation of gene expression [GO:0010468]; response to differentiation-inducing factor 1 [GO:1903013]; sorocarp development [GO:0030587]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; sequence-specific DNA binding [GO:0043565]; cell differentiation [GO:0030154]; chemotaxis [GO:0006935]; negative regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043944]; positive regulation of sorocarp stalk cell differentiation [GO:0031287]; programmed cell death [GO:0012501]; regulation of cell differentiation [GO:0045595]; regulation of gene expression [GO:0010468]; response to differentiation-inducing factor 1 [GO:1903013]; sorocarp development [GO:0030587]; sporulation resulting in formation of a cellular spore [GO:0030435]	8621809;
Q55F68	reviewed	CYAD_DICDI	Adenylate cyclase, terminal-differentiation specific (ACR) (EC 4.6.1.1) (ACB) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	acrA acb DDB_G0267376	Dictyostelium discoideum (Social amoeba)	2123		10.1242/dev.126.23.5463; 10.1038/nature03481; 10.1074/jbc.273.47.30859; 10.1006/dbio.1999.9352; 10.1242/dev.128.18.3649; 10.1042/bj20060880	5.0	ATP-binding;cAMP biosynthesis;Lyase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Sporulation;Transmembrane;Transmembrane helix	KW-0067; KW-0115; KW-0456; KW-0460; KW-0472; KW-0479; KW-0547; KW-0597; KW-1185; KW-0677; KW-0749; KW-0812; KW-1133	PF00211;PF02518;PF00072;	cd07302;cd00156;	IPR001054;IPR050697;IPR011006;IPR036890;IPR003594;IPR005467;IPR029787;IPR004358;IPR001789;		Adenylyl cyclase class-4/guanylyl cyclase family	PTHR43081:SF1;PTHR43081;	ddi:DDB_G0267376;			cAMP biosynthetic process [GO:0006171]; cAMP-mediated signaling [GO:0019933]; cytokinin-activated signaling pathway [GO:0009736]; phosphorelay signal transduction system [GO:0000160]; regulation of gene expression [GO:0010468]; response to caffeine [GO:0031000]; sorocarp development [GO:0030587]; sorocarp morphogenesis [GO:0031288]; sorocarp spore cell differentiation [GO:0044671]; sporulation resulting in formation of a cellular spore [GO:0030435]	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; cAMP biosynthetic process [GO:0006171]; cAMP-mediated signaling [GO:0019933]; cytokinin-activated signaling pathway [GO:0009736]; phosphorelay signal transduction system [GO:0000160]; regulation of gene expression [GO:0010468]; response to caffeine [GO:0031000]; sorocarp development [GO:0030587]; sorocarp morphogenesis [GO:0031288]; sorocarp spore cell differentiation [GO:0044671]; sporulation resulting in formation of a cellular spore [GO:0030435]	8616482;
Q59HN7	reviewed	PHRH_BACSU	Phosphatase RapH inhibitor (Phosphatase regulator H)	phrH BSU06839	Bacillus subtilis (strain 168)	57		10.1111/j.1365-2958.2006.05059.x; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1016/0378-1119(88)90207-7; 10.1111/j.1365-2958.2007.05776.x; 10.1128/jb.05860-11	5.0	Competence;Cytoplasm;Reference proteome;Secreted;Sporulation	KW-0178; KW-0963; KW-1185; KW-0964; KW-0749					Phr family		bsu:BSU06839;			establishment of competence for transformation [GO:0030420]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; establishment of competence for transformation [GO:0030420]; sporulation resulting in formation of a cellular spore [GO:0030435]	8303115;
Q59HN8	reviewed	RAPH_BACSU	Response regulator aspartate phosphatase H (EC 3.1.3.-) (PSP28)	rapH yeeH yzqA BSU06830	Bacillus subtilis (strain 168)	376	P06628	10.1038/36786; 10.1099/mic.0.027839-0; 10.1111/j.1365-2958.2006.05059.x; 10.1111/j.1365-2958.2007.05776.x; 10.1128/jb.05860-11; 10.1371/journal.pbio.1000589	5.0	3D-structure;Competence;Cytoplasm;Hydrolase;Protein phosphatase;Reference proteome;Repeat;Sporulation;TPR repeat	KW-0002; KW-0178; KW-0963; KW-0378; KW-0904; KW-1185; KW-0677; KW-0749; KW-0802	PF18801;PF13176;		IPR051476;IPR011990;IPR019734;		Rap family	PTHR46630;PTHR46630:SF1;	bsu:BSU06830;			establishment of competence for transformation [GO:0030420]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; phosphoprotein phosphatase activity [GO:0004721]; establishment of competence for transformation [GO:0030420]; sporulation resulting in formation of a cellular spore [GO:0030435]	936065;
Q5ADT1	reviewed	MDS3_CANAL	Negative regulator of sporulation MDS3	MDS3 CAALFM_C307320WA CaO19.14052/14051 CaO19.6760/6759	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	1383		10.1073/pnas.0401648101; 10.1186/gb-2007-8-4-r52; 10.1186/gb-2013-14-9-r97; 10.1093/genetics/162.4.1573; 10.1099/mic.0.26640-0; 10.1128/ec.4.8.1493-1502.2005; 10.1016/j.micpath.2006.11.005; 10.1128/mcb.01540-09	5.0	Cytoplasm;Kelch repeat;Meiosis;Reference proteome;Repeat;Sporulation;Virulence	KW-0963; KW-0880; KW-0469; KW-1185; KW-0677; KW-0749; KW-0843	PF13418;		IPR015915;			PTHR43503;PTHR43503:SF2;	cal:CAALFM_C307320WA;			cell redox homeostasis [GO:0045454]; cellular response to heat [GO:0034605]; cellular response to pH [GO:0071467]; chlamydospore formation [GO:0001410]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; filamentous growth of a population of unicellular organisms in response to chemical stimulus [GO:0036171]; filamentous growth of a population of unicellular organisms in response to heat [GO:0036168]; filamentous growth of a population of unicellular organisms in response to pH [GO:0036177]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; meiotic cell cycle [GO:0051321]; positive regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus [GO:1900439]; single-species biofilm formation on inanimate substrate [GO:0044011]	cytosol [GO:0005829]; peroxidase activity [GO:0004601]; cell redox homeostasis [GO:0045454]; cellular response to heat [GO:0034605]; cellular response to pH [GO:0071467]; chlamydospore formation [GO:0001410]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; filamentous growth of a population of unicellular organisms in response to chemical stimulus [GO:0036171]; filamentous growth of a population of unicellular organisms in response to heat [GO:0036168]; filamentous growth of a population of unicellular organisms in response to pH [GO:0036177]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; meiotic cell cycle [GO:0051321]; positive regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus [GO:1900439]; single-species biofilm formation on inanimate substrate [GO:0044011]	3638464;
Q5BBX1	reviewed	VOSA_EMENI	Spore development regulator vosA (Viability of spores protein A)	vosA ANIA_01959	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	430	C8VTS4; Q5BBX1	10.1371/journal.pone.0000970; 10.1038/nature04341; 10.1016/j.fgb.2008.12.003; 10.1016/j.fgb.2010.08.009; 10.1111/j.1365-2958.2010.07282.x; 10.1371/journal.pgen.1001226; 10.1371/journal.pone.0045935; 10.1371/journal.pone.0089883; 10.1038/srep10199; 10.1371/journal.pbio.1001750	5.0	3D-structure;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0002; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805	PF11754;		IPR021740;IPR037525;IPR038491;		Velvet family, VosA subfamily	PTHR33572;PTHR33572:SF18;	ani:ANIA_01959;			conidium formation [GO:0048315]; sporulation resulting in formation of a cellular spore [GO:0030435]; trehalose biosynthetic process [GO:0005992]	nucleus [GO:0005634]; identical protein binding [GO:0042802]; conidium formation [GO:0048315]; sporulation resulting in formation of a cellular spore [GO:0030435]; trehalose biosynthetic process [GO:0005992]	2875240;
Q5FXM5	reviewed	ACBP_DICDI	Acyl-CoA-binding protein (ACBP) [Cleaved into: SDF-2]	acbA DDB_G0270658	Dictyostelium discoideum (Social amoeba)	84		10.1073/pnas.0501820102; 10.1038/nature03481; 10.1006/dbio.1997.8804; 10.1128/mcb.19.7.4750; 10.1242/dev.02399	5.0	Cytokinin signaling pathway;Developmental protein;Differentiation;Lipid-binding;Reference proteome;Sporulation;Transport	KW-0932; KW-0217; KW-0221; KW-0446; KW-1185; KW-0749; KW-0813	PF00887;		IPR022408;IPR000582;IPR035984;IPR014352;		ACBP family	PTHR23310:SF62;PTHR23310;	ddi:DDB_G0270658;			cell differentiation [GO:0030154]; culmination involved in sorocarp development [GO:0031154]; cytokinin-activated signaling pathway [GO:0009736]; DNA damage response [GO:0006974]; fatty acid metabolic process [GO:0006631]; protein processing [GO:0016485]; sporulation resulting in formation of a cellular spore [GO:0030435]	cell cortex [GO:0005938]; extracellular region [GO:0005576]; vesicle [GO:0031982]; fatty-acyl-CoA binding [GO:0000062]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; cell differentiation [GO:0030154]; culmination involved in sorocarp development [GO:0031154]; cytokinin-activated signaling pathway [GO:0009736]; DNA damage response [GO:0006974]; fatty acid metabolic process [GO:0006631]; protein processing [GO:0016485]; sporulation resulting in formation of a cellular spore [GO:0030435]	8617276;
Q6BU36	reviewed	UBC2_DEBHA	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 DEHA2C13904g	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	168		10.1038/nature02579	5.0	ATP-binding;Chromatin regulator;Cytoplasm;DNA damage;DNA repair;Nucleotide-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation;Transferase;Ubl conjugation pathway	KW-0067; KW-0156; KW-0963; KW-0227; KW-0234; KW-0547; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805; KW-0808; KW-0833	PF00179;	cd00195;	IPR050113;IPR000608;IPR023313;IPR016135;		Ubiquitin-conjugating enzyme family	PTHR24067;	dha:DEHA2C13904g;			cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; protein ubiquitination [GO:0016567]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]; ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]; cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; protein ubiquitination [GO:0016567]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	2900043;
Q6C093	reviewed	UBC2_YARLI	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 YALI0F26697g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	151		10.1038/nature02579	5.0	ATP-binding;Chromatin regulator;Cytoplasm;DNA damage;DNA repair;Nucleotide-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation;Transferase;Ubl conjugation pathway	KW-0067; KW-0156; KW-0963; KW-0227; KW-0234; KW-0547; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805; KW-0808; KW-0833	PF00179;	cd00195;	IPR050113;IPR000608;IPR023313;IPR016135;		Ubiquitin-conjugating enzyme family	PTHR24067;	yli:2908858;			cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]; ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]; cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	2908858;
Q6FR76	reviewed	UBC2_CANGA	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 CAGL0I00352g	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	167		10.1038/nature02579	5.0	ATP-binding;Chromatin regulator;Cytoplasm;DNA damage;DNA repair;Nucleotide-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation;Transferase;Ubl conjugation pathway	KW-0067; KW-0156; KW-0963; KW-0227; KW-0234; KW-0547; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805; KW-0808; KW-0833	PF00179;	cd00195;	IPR050113;IPR000608;IPR023313;IPR016135;		Ubiquitin-conjugating enzyme family	PTHR24067;	cgr:2889314;			cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; protein ubiquitination [GO:0016567]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]; ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]; cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; protein ubiquitination [GO:0016567]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	2889314;
