target	product	best_hit	HMM	evalue	score	EC	gene	ORF_start	ORF_end	product_start	product_end	product_length	ORF_length-aa
P37869	ENO, eno; enolase	K01689	KOFam_prokaryote_FOAM	1.9e-212	703.7	4.2.1.11		N/A	N/A	3	425	422	428
P37956	Spore photoproduct lyase	K03716	KOFam_prokaryote_KEGG	3.3e-176	581.6	4.1.99.14	splB	N/A	N/A	3	342	339	428
P39065	acuA; acetoin utilization protein AcuA	K04766	KOFam_prokaryote_FOAM	1.5e-105	347.5	2.3.1.-		N/A	N/A	1	210	209	428
P39773	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	3e-249	825.6	5.4.2.12		N/A	N/A	1	511	510	428
P40288	Glucose 1-dehydrogenase	K00034	KOFam_prokaryote_KEGG	3.9e-121	400.3	1.1.1.47	gdh	N/A	N/A	1	259	258	428
P45453	Competence protein ComX	K02253	KOFam_prokaryote_KEGG	6.9e-19	64.2		comX	N/A	N/A	1	53	52	428
P54507	Spore coat-associated protein N	K06336	KOFam_prokaryote_KEGG	1.6e-51	172.7		tasA, cotN	N/A	N/A	1	259	258	428
P71021	Cell division initiation protein	K04074	KOFam_prokaryote_KEGG	3.2e-64	213.7		divIVA	N/A	N/A	1	155	154	428
P94416	Phosphatase RapC regulator	K06353	KOFam_prokaryote_KEGG	4.3e-32	106.4		phrC	N/A	N/A	1	40	39	428
Q00828	Response regulator aspartate phosphatase A (stage 0 sporulation protein L)	K06359	KOFam_prokaryote_KEGG	1.5e-184	609.8	3.1.-.-	rapA, spo0L	N/A	N/A	3	378	375	428
Q00829	Phosphatase RapA inhibitor	K06352	KOFam_prokaryote_KEGG	8.3e-36	118.4		phrA	N/A	N/A	1	44	43	428
Q06320	amiABC; N-acetylmuramoyl-L-alanine amidase	K01448	KOFam_prokaryote_FOAM	1.4e-64	215.0	3.5.1.28		N/A	N/A	3	205	202	428
Q07868	Penicillin-binding protein 2B	K08724	KOFam_prokaryote_KEGG	0.0	1022.9		pbpB	N/A	N/A	1	712	711	428
Q182W3	Stage IV sporulation protein A	K06398	KOFam_prokaryote_KEGG	1.5e-222	736.4		spoIVA	N/A	N/A	2	491	489	428
Q59HN7	Phosphatase RapH regulator	K20389	KOFam_prokaryote_KEGG	7.5e-43	141.0		phrH	N/A	N/A	1	57	56	428
Q59HN8	Response regulator aspartate phosphatase H	K06366	KOFam_prokaryote_KEGG	7.2e-191	631.1	3.1.-.-	rapH	N/A	N/A	1	376	375	428
Q7AKG8	Hypothetical							N/A	N/A				
Q7AKI9	WhiB family transcriptional regulator, redox-sensing transcriptional regulator	K18955	KOFam_prokaryote_KEGG	1.4e-32	110.2		whiB1_2_3_4	N/A	N/A	13	100	87	428
Q81X77	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	6.7e-245	811.2	5.4.2.12		N/A	N/A	3	509	506	428
Q9L268	Hypothetical							N/A	N/A				
Q9WX11	RNA polymerase sigma-70 factor, ECF subfamily	K03088	KOFam_prokaryote_KEGG	6.2e-50	167.1		rpoE	N/A	N/A	22	259	237	428
Q9X519	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	4.5e-250	828.3	5.4.2.12		N/A	N/A	1	510	509	428
Q9ZN78	TetR/AcrR family transcriptional regulator, repressor for uid operon	K16138	KOFam_prokaryote_KEGG	1.6e-25	85.5		uidR	N/A	N/A	3	210	207	428
A0PZS6	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.7e-63	207.9	2.7.11.1		N/A	N/A	3	140	137	428
A0RI78	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
A4IQI5	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	4.1e-66	218.0	2.7.11.1		N/A	N/A	2	141	139	428
A5N217	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.8e-62	205.6	2.7.11.1		N/A	N/A	3	138	135	428
A6LRL7	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2e-62	206.1	2.7.11.1		N/A	N/A	3	139	136	428
A7GS97	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	6.4e-63	207.6	2.7.11.1		N/A	N/A	2	141	139	428
A7Z692	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	3.7e-65	214.9	2.7.11.1		N/A	N/A	2	141	139	428
A8FET0	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	4.3e-64	211.4	2.7.11.1		N/A	N/A	2	141	139	428
A9VFH8	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
B0K150	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.2e-62	206.0	2.7.11.1		N/A	N/A	3	139	136	428
B0K9G3	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.2e-62	206.0	2.7.11.1		N/A	N/A	3	139	136	428
B2TLY1	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.1e-63	210.1	2.7.11.1		N/A	N/A	2	139	137	428
B2V2G9	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.1e-63	210.1	2.7.11.1		N/A	N/A	2	139	137	428
B7GKG6	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.4e-65	216.3	2.7.11.1		N/A	N/A	2	141	139	428
B7H965	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
B7HN53	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
B7IWI6	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
B7JLS6	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
B9E5R9	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.8e-62	205.6	2.7.11.1		N/A	N/A	3	138	135	428
B9IWT7	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
C0SP90	Cytochrome bd ubiquinol oxidase subunit I	K00425	KOFam_prokaryote_KEGG	1.3e-125	416.7	7.1.1.7	cydA	N/A	N/A	1	435	434	428
C1EQU8	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
C3LIU0	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
C3P7L0	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
C5D403	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.7e-66	219.2	2.7.11.1		N/A	N/A	2	141	139	428
C9RZ55	Spore photoproduct lyase	K03716	KOFam_prokaryote_KEGG	1.4e-170	563.2	4.1.99.14	splB	N/A	N/A	1	341	340	428
O05272	Amidotransferase	K14244	KOFam_prokaryote_KEGG	8.4e-171	565.9	6.3.5.-	oxyD	N/A	N/A	1	579	578	428
O31671	kinD; two-component system, sporulation sensor kinase D	K13532	KOFam_prokaryote_FOAM	1.5e-134	446.1	2.7.13.3		N/A	N/A	10	504	494	428
O32032	Penicillin-binding protein 4B	K21468	KOFam_prokaryote_KEGG	9e-232	767.3		pbpI	N/A	N/A	2	582	580	428
O32721	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	4.4e-64	211.4	2.7.11.1		N/A	N/A	1	146	145	428
O32724	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	8e-56	184.6	2.7.11.1		N/A	N/A	2	138	136	428
O34779	PPM family protein phosphatase	K20074	KOFam_prokaryote_KEGG	7.6e-91	301.5	3.1.3.16	prpC, phpP	N/A	N/A	5	243	238	428
O34800	Stage II sporulation protein SB	K06389	KOFam_prokaryote_KEGG	2.7e-31	104.0		spoIISB	N/A	N/A	1	56	55	428
O34816	L,D-transpeptidase ErfK/SrfK	K16291	KOFam_prokaryote_KEGG	1.4e-52	175.8		erfK	N/A	N/A	3	162	159	428
O34853	Stage II sporulation protein SA	K06388	KOFam_prokaryote_KEGG	6.3e-123	405.6		spoIISA	N/A	N/A	1	247	246	428
P00781	Subtilisin	K01342	KOFam_prokaryote_KEGG	2.2e-125	416.1	3.4.21.62	aprE	N/A	N/A	1	273	272	428
P05516	Hypothetical							N/A	N/A				
P06222	RNA polymerase sporulation-specific sigma factor	K03091	KOFam_prokaryote_KEGG	5.6e-81	269.1		sigH	N/A	N/A	14	238	224	428
P06533	XRE family transcriptional regulator, master regulator for biofilm formation	K19449	KOFam_prokaryote_KEGG	1.9e-51	169.8		sinR	N/A	N/A	1	110	109	428
P06535	Stage 0 sporulation protein B (sporulation initiation phosphotransferase)	K06375	KOFam_prokaryote_KEGG	1.3e-57	191.4	2.7.-.-	spo0B	N/A	N/A	15	190	175	428
P06628	Two-component system, response regulator, stage 0 sporulation protein F	K02490	KOFam_prokaryote_KEGG	2.6e-57	190.5		spo0F	N/A	N/A	1	119	118	428
P07373	Cell division protein FtsW	K03588	KOFam_prokaryote_KEGG	5.5e-138	457.2		ftsW, spoVE	N/A	N/A	8	362	354	428
P07518	Subtilisin	K01342	KOFam_prokaryote_KEGG	8.8e-129	427.3	3.4.21.62	aprE	N/A	N/A	1	274	273	428
P08874	AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes	K06284	KOFam_prokaryote_KEGG	9.2e-44	145.2		abrB	N/A	N/A	2	95	93	428
P0A379	Hypothetical							N/A	N/A				
P0A381	Hypothetical							N/A	N/A				
P0A3V1	cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase	K01449	KOFam_prokaryote_FOAM	8.1e-91	300.9	3.5.1.28		N/A	N/A	5	259	254	428
P10565	Hypothetical							N/A	N/A				
P10727	Stage II sporulation protein AA (anti-sigma F factor antagonist)	K06378	KOFam_prokaryote_KEGG	1.6e-42	142.3		spoIIAA	N/A	N/A	4	114	110	428
P11065	MarR family transcriptional regulator, protease production regulatory protein HPr	K09682	KOFam_prokaryote_KEGG	4.2e-94	309.5		hpr	N/A	N/A	5	185	180	428
P12254	RNA polymerase sporulation-specific sigma factor	K03091	KOFam_prokaryote_KEGG	7.6e-82	143.2		sigH	N/A	N/A	18	116	98	428
P13243	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase	K03339	KOFam_prokaryote_KEGG	2.1e-129	427.5	4.1.2.29	iolJ	N/A	N/A	1	285	284	428
P16497	kinA; two-component system, sporulation sensor kinase A	K02491	KOFam_prokaryote_FOAM	3e-171	542.5	2.7.13.3		N/A	N/A	142	604	462	428
P18568	Hypothetical							N/A	N/A				
P19638	dgkA; undecaprenol kinase	K00887	KOFam_prokaryote_FOAM	4.2e-50	166.4	2.7.1.66		N/A	N/A	1	123	122	428
P19940	RNA polymerase sigma-B factor	K03090	KOFam_prokaryote_KEGG	1.1e-69	232.1		sigB	N/A	N/A	21	257	236	428
P21158	2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase	K21101	KOFam_prokaryote_KEGG	6.6e-32	107.2	1.1.1.398	isoH	N/A	N/A	13	166	153	428
P24136	Oligopeptide transport system ATP-binding protein	K15583	KOFam_prokaryote_KEGG	5.3e-199	659.9		oppD	N/A	N/A	6	342	336	428
P24137	Oligopeptide transport system ATP-binding protein	K10823	KOFam_prokaryote_KEGG	1.1e-167	556.1		oppF	N/A	N/A	3	303	300	428
P24138	Oligopeptide transport system permease protein	K15581	KOFam_prokaryote_KEGG	4.6e-135	447.1		oppB	N/A	N/A	1	309	308	428
P24139	Dipeptide transport system permease protein	K16201	KOFam_prokaryote_KEGG	4.3e-144	475.9		dppC	N/A	N/A	2	305	303	428
P26778	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.6e-64	212.1	2.7.11.1		N/A	N/A	2	141	139	428
P26902	D-amino peptidase	K16203	KOFam_prokaryote_KEGG	4.1e-94	311.8	3.4.11.-	dppA1	N/A	N/A	1	269	268	428
P26936	Stage IV sporulation protein FA	K06401	KOFam_prokaryote_KEGG	1.8e-81	270.3		spoIVFA	N/A	N/A	1	264	263	428
P27206	entF; enterobactin synthetase component F	K02364	KOFam_prokaryote_FOAM	0.0	864.6	6.3.2.14		N/A	N/A	2097	3114	1017	428
P28264	Cell division protein FtsA	K03590	KOFam_prokaryote_KEGG	2.5e-139	462.5		ftsA	N/A	N/A	1	421	420	428
P29599	Subtilisin	K01342	KOFam_prokaryote_KEGG	2.4e-124	412.6	3.4.21.62	aprE	N/A	N/A	1	268	267	428
P29600	Subtilisin	K01342	KOFam_prokaryote_KEGG	4.4e-125	415.1	3.4.21.62	aprE	N/A	N/A	1	268	267	428
P31114	Heptaprenyl diphosphate synthase component 2	K24873	KOFam_prokaryote_KEGG	3.2e-156	515.5	2.5.1.30	hepT	N/A	N/A	29	348	319	428
P35148	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.2e-62	206.7	2.7.11.1		N/A	N/A	2	142	140	428
P35150	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)	K07258	KOFam_prokaryote_FOAM	5e-105	349.0	3.4.16.4		N/A	N/A	11	364	353	428
P37522	Chromosome partitioning protein	K03496	KOFam_prokaryote_KEGG	4.7e-106	352.0		parA, soj	N/A	N/A	3	251	248	428
P37554	AbrB family transcriptional regulator, stage V sporulation protein T	K04769	KOFam_prokaryote_KEGG	3.1e-89	294.6		spoVT	N/A	N/A	1	178	177	428
P37873	Stage II sporulation protein M	K06384	KOFam_prokaryote_KEGG	3.5e-45	151.4		spoIIM	N/A	N/A	3	212	209	428
P39620	Spore germination protein Q	K06305	KOFam_prokaryote_KEGG	9.7e-63	207.5		gerQ	N/A	N/A	8	180	172	428
P39764	kinC; two-component system, sporulation sensor kinase C	K07698	KOFam_prokaryote_FOAM	9.5e-155	513.1	2.7.13.3		N/A	N/A	3	427	424	428
P42234	katE, CAT, catB, srpA; catalase	K03781	KOFam_prokaryote_FOAM	2.4e-242	803.8	1.11.1.6		N/A	N/A	17	684	667	428
P45858	2-methylcitrate synthase	K01659	KOFam_prokaryote_KEGG	2.3e-123	408.0	2.3.3.5	prpC	N/A	N/A	1	368	367	428
P49782	Stage III sporulation protein AE	K06394	KOFam_prokaryote_KEGG	1.9e-162	537.4		spoIIIAE	N/A	N/A	1	399	398	428
P52934	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	2.3e-126	417.3		spo0A	N/A	N/A	2	258	256	428
P54450	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	4.6e-42	141.3	3.5.1.28	xlyAB	N/A	N/A	1	221	220	428
P59623	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.2e-61	203.6	2.7.11.1		N/A	N/A	3	139	136	428
P59624	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.8e-62	205.5	2.7.11.1		N/A	N/A	2	143	141	428
P60495	Inhibitor of KinA	K06351	KOFam_prokaryote_KEGG	7e-106	350.2		kipI	N/A	N/A	3	237	234	428
P70878	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	8.5e-61	200.7	2.7.11.1		N/A	N/A	2	139	137	428
P70962	Response regulator aspartate phosphatase B	K06360	KOFam_prokaryote_KEGG	1e-174	577.8	3.1.-.-	rapB	N/A	N/A	1	374	373	428
Q03524	Stage V sporulation protein D (sporulation-specific penicillin-binding protein)	K08384	KOFam_prokaryote_KEGG	3e-262	869.0		spoVD	N/A	N/A	1	640	639	428
Q04747	entF; enterobactin synthetase component F	K02364	KOFam_prokaryote_FOAM	0.0	851.8	6.3.2.14		N/A	N/A	8	1047	1039	428
Q04809	Dipicolinate synthase subunit A	K06410	KOFam_prokaryote_KEGG	2.2e-134	443.8		spoVFA	N/A	N/A	1	292	291	428
Q05523	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)	K07258	KOFam_prokaryote_FOAM	1.7e-109	363.7	3.4.16.4		N/A	N/A	1	431	430	428
Q06117	Hypothetical							N/A	N/A				
Q08352	ald; alanine dehydrogenase	K00259	KOFam_prokaryote_FOAM	3.5e-174	575.8	1.4.1.1		N/A	N/A	1	373	372	428
Q08787	Surfactin family lipopeptide synthetase C	K15656	KOFam_prokaryote_KEGG	0.0	2635.3		srfAC, lchAC	N/A	N/A	1	1274	1273	428
Q08788	External thioesterase TEII	K15657	KOFam_prokaryote_KEGG	3e-132	435.9		srfATE, srfAD, lchAD	N/A	N/A	1	241	240	428
Q0SRC7	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.2e-63	210.0	2.7.11.1		N/A	N/A	2	138	136	428
Q0TNR1	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.3e-63	209.9	2.7.11.1		N/A	N/A	2	138	136	428
Q45757	Hypothetical							N/A	N/A				
Q5KXJ2	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	3.6e-66	218.2	2.7.11.1		N/A	N/A	2	141	139	428
Q5WH26	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.4e-62	206.5	2.7.11.1		N/A	N/A	2	141	139	428
Q635K7	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
Q65HU3	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.2e-64	211.2	2.7.11.1		N/A	N/A	2	141	139	428
Q6HE93	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
Q731M3	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
Q7AKN0	WhiB family transcriptional regulator, redox-sensing transcriptional regulator	K18955	KOFam_prokaryote_KEGG	1.3e-40	136.5		whiB1_2_3_4	N/A	N/A	14	84	70	428
Q7WY62	Developmental checkpoint coupling sporulation initiation to replication initiation	K06371	KOFam_prokaryote_KEGG	1.4e-21	73.0		sda	N/A	N/A	5	46	41	428
Q7WY77	Antagonist of KipI	K06350	KOFam_prokaryote_KEGG	1.3e-142	472.4		kipA	N/A	N/A	1	333	332	428
Q819B3	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.5e-61	203.1	2.7.11.1		N/A	N/A	2	141	139	428
Q81MF4	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	5.5e-63	207.8	2.7.11.1		N/A	N/A	2	141	139	428
Q81SW4	Stage IV sporulation protein A	K06398	KOFam_prokaryote_KEGG	7.9e-253	836.3		spoIVA	N/A	N/A	1	492	491	428
Q8EQ73	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.6e-64	212.8	2.7.11.1		N/A	N/A	2	141	139	428
Q8RAA8	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	6.6e-62	204.4	2.7.11.1		N/A	N/A	3	140	137	428
Q8XIR5	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	1.3e-63	209.9	2.7.11.1		N/A	N/A	2	138	136	428
Q97GQ9	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	3.6e-63	208.4	2.7.11.1		N/A	N/A	3	138	135	428
Q97L63	Spore photoproduct lyase	K03716	KOFam_prokaryote_KEGG	4e-140	463.0	4.1.99.14	splB	N/A	N/A	4	336	332	428
Q9K2S2	Multicomponent Na+:H+ antiporter subunit A	K05565	KOFam_prokaryote_KEGG	5.3e-282	934.7		mnhA, mrpA	N/A	N/A	3	792	789	428
Q9KCN2	spoIIAB; stage II sporulation protein AB (anti-sigma F factor)	K06379	KOFam_prokaryote_FOAM	2.9e-63	208.7	2.7.11.1		N/A	N/A	2	141	139	428
Q9RNV1	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	K03466	KOFam_prokaryote_KEGG	5.8e-214	709.3		ftsK, spoIIIE	N/A	N/A	19	774	755	428
A0A2K4Z9G8	Hypothetical							N/A	N/A				
A0RKS4	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.4e-245	813.4	5.4.2.12		N/A	N/A	3	509	506	428
A7GUR8	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	2.3e-246	816.0	5.4.2.12		N/A	N/A	3	509	506	428
A7Z8Y2	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	2.2e-247	819.4	5.4.2.12		N/A	N/A	1	511	510	428
A8FHJ1	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	2.4e-244	809.4	5.4.2.12		N/A	N/A	1	511	510	428
C0H3P8	Hypothetical							N/A	N/A				
C0H3Y2	Hypothetical							N/A	N/A				
