From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
BSU00560	P37554	reviewed	SPOVT_BACSU	Stage V sporulation protein T	spoVT yabL BSU00560	Bacillus subtilis (strain 168)	178	P37554	10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.178.15.4500-4507.1996; 10.1016/j.femsle.2004.02.013; 10.1128/jb.00504-12; 10.1016/j.str.2008.08.014; 10.1016/j.jmb.2008.10.061	4.0	3D-structure;Activator;DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0002; KW-0010; KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805	PF04014;PF15714;		IPR052731;IPR029016;IPR014213;IPR007159;IPR037914;	TIGR01439;TIGR02851;		PTHR36432;PTHR36432:SF1;	bsu:BSU00560;			sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; sporulation resulting in formation of a cellular spore [GO:0030435]	11237815;936975;
BSU13290	O34405	reviewed	YKZD_BACSU	Uncharacterized protein YkzD	ykzD BSU13290	Bacillus subtilis (strain 168)	45		10.1038/36786	1.0	Reference proteome	KW-1185	PF11132;		IPR022608;				bsu:BSU13290;					76986438;936450;
BSU23380	P23630	reviewed	DCDA_BACSU	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA lys BSU23380	Bacillus subtilis (strain 168)	439		10.1093/nar/17.23.10105; 10.1111/j.1365-2958.1993.tb02670.x; 10.1271/bbb1961.55.1615; 10.1099/13500872-142-11-3103; 10.1038/36786	3.0	Amino-acid biosynthesis;Decarboxylase;Lyase;Lysine biosynthesis;Pyridoxal phosphate;Reference proteome	KW-0028; KW-0210; KW-0456; KW-0457; KW-0663; KW-1185	PF02784;PF00278;	cd06828;	IPR009006;IPR002986;IPR022643;IPR022657;IPR022644;IPR022653;IPR000183;IPR029066;	TIGR01048;	Orn/Lys/Arg decarboxylase class-II family, LysA subfamily	PTHR43727;PTHR43727:SF2;	bsu:BSU23380;			lysine biosynthetic process via diaminopimelate [GO:0009089]	diaminopimelate decarboxylase activity [GO:0008836]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate [GO:0009089]	938931;
BSU00600	P37558	reviewed	YABP_BACSU	Spore protein YabP	yabP BSU00600	Bacillus subtilis (strain 168)	100		10.1093/dnares/1.1.1; 10.1038/36786; 10.1073/pnas.140209597; 10.1099/00221287-147-4-919; 10.1128/jb.186.14.4441-4448.2004	3.0	Membrane;Reference proteome;Sporulation	KW-0472; KW-1185; KW-0749	PF07873;		IPR012504;IPR022476;IPR038705;	TIGR02892;			bsu:BSU00600;			sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; membrane [GO:0016020]; sporulation resulting in formation of a cellular spore [GO:0030435]	86871179;936966;
BSU36200	P96721	reviewed	YWQI_BACSU	Protein YwqI	ywqI BSU36200	Bacillus subtilis (strain 168)	86		10.1099/00221287-143-10-3313; 10.1038/36786; 10.1371/journal.pgen.1009682	2.0	Coiled coil;Reference proteome	KW-0175; KW-1185	PF17279;		IPR046318;				bsu:BSU36200;					11241229;937912;
BSU36990	P45874	reviewed	YWKF_BACSU	Uncharacterized protein YwkF	ywkF BSU36990	Bacillus subtilis (strain 168)	95		10.1099/00221287-143-10-3313; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF17247;		IPR035167;				bsu:BSU36990;				plasma membrane [GO:0005886]	938510;
BSU09210	P54604	reviewed	YHCT_BACSU	Uncharacterized RNA pseudouridine synthase YhcT (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	yhcT BSU09210	Bacillus subtilis (strain 168)	302		10.1099/13500872-142-11-3021; 10.1038/36786; 10.1099/mic.0.027839-0	2.0	Isomerase;Reference proteome;RNA-binding	KW-0413; KW-1185; KW-0694	PF00849;PF01479;	cd02869;	IPR020103;IPR006224;IPR006225;IPR006145;IPR050188;IPR002942;	TIGR00005;	Pseudouridine synthase RluA family	PTHR21600;PTHR21600:SF71;	bsu:BSU09210;			enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	936253;
BSU15260	Q45544	reviewed	YLXX_BACSU	UPF0749 protein YlxX	ylxX BSU15260	Bacillus subtilis (strain 168)	235		10.1038/36786; 10.1099/mic.0.027839-0	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF05949;		IPR010273;		UPF0749 family	PTHR37313;PTHR37313:SF2;	bsu:BSU15260;				plasma membrane [GO:0005886]	936107;
BSU19680	O31864	reviewed	YOZE_BACSU	UPF0346 protein YozE	yozE BSU19680	Bacillus subtilis (strain 168)	74		10.1038/36786	1.0	3D-structure;Reference proteome	KW-0002; KW-1185	PF06855;		IPR010673;IPR023089;IPR036806;		UPF0346 family		bsu:BSU19680;					940055;
BSU11810	O31625	reviewed	SPVIF_BACSU	Sporulation-specific transcription factor SpoVIF (Stage VI sporulation protein F)	spoVIF yjcC BSU11810	Bacillus subtilis (strain 168)	84		10.1038/36786; 10.1099/mic.0.26432-0; 10.1099/mic.0.26689-0	2.0	Cytoplasm;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0963; KW-1185; KW-0749; KW-0804; KW-0805	PF14069;		IPR025942;				bsu:BSU11810;			sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; sporulation resulting in formation of a cellular spore [GO:0030435]	939384;
BSU13840	O31687	reviewed	STOA_BACSU	Sporulation thiol-disulfide oxidoreductase A (Stage IV sporulation protein H)	stoA spoIVH BSU13840	Bacillus subtilis (strain 168)	165		10.1038/36786; 10.1128/jb.186.16.5450-5459.2004; 10.1128/jb.186.18.6230-6238.2004; 10.1271/bbb.68.1801	3.0	3D-structure;Disulfide bond;Membrane;Oxidoreductase;Redox-active center;Reference proteome;Signal;Sporulation	KW-0002; KW-1015; KW-0472; KW-0560; KW-0676; KW-1185; KW-0732; KW-0749	PF00578;	cd02966;	IPR000866;IPR036249;IPR017937;IPR013766;IPR050553;	NF041202;	Thioredoxin family	PTHR42852;PTHR42852:SF17;	bsu:BSU13840;			sporulation resulting in formation of a cellular spore [GO:0030435]	outer endospore membrane [GO:0043594]; antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]; sporulation resulting in formation of a cellular spore [GO:0030435]	936262;
BSU32640	Q7WY59	reviewed	SSPG_BACSU	Small, acid-soluble spore protein G (SASP G)	sspG BSU32640	Bacillus subtilis (strain 168)	48		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749							bsu:BSU32640;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	2914218;
BSU26990	O06010	reviewed	YRAD_BACSU	Spore coat protein F-like protein YraD	yraD BSU26990	Bacillus subtilis (strain 168)	99		10.1099/00221287-143-4-1321; 10.1038/36786	1.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF07875;		IPR012347;IPR012851;		CotF family	PTHR39183;PTHR39183:SF1;	bsu:BSU26990;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	935919;
BSU33540	O32224	reviewed	AZOR2_BACSU	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 yvaB BSU33540	Bacillus subtilis (strain 168)	211		10.1038/36786; 10.1271/bbb.60548; 10.1111/j.1365-2958.2007.05891.x; 10.1111/j.1365-2958.2008.06110.x	5.0	Aromatic hydrocarbons catabolism;Detoxification;Direct protein sequencing;Flavoprotein;FMN;NAD;Oxidoreductase;Reference proteome	KW-0058; KW-0216; KW-0903; KW-0285; KW-0288; KW-0520; KW-0560; KW-1185	PF02525;		IPR003680;IPR029039;IPR050104;IPR023048;		Azoreductase type 1 family	PTHR43741;PTHR43741:SF7;	bsu:BSU33540;			catabolic process [GO:0009056]; response to toxic substance [GO:0009636]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; catabolic process [GO:0009056]; response to toxic substance [GO:0009636]	936142;
BSU09940	O07520	reviewed	YHAL_BACSU	Sporulation protein YhaL	yhaL BSU09940	Bacillus subtilis (strain 168)	70		10.1038/36786; 10.1099/mic.0.26413-0	2.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF14147;		IPR025428;				bsu:BSU09940;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	86874531;936285;
BSU10780	O06727	reviewed	YISN_BACSU	Uncharacterized protein YisN	yisN yucA BSU10780	Bacillus subtilis (strain 168)	195		10.1099/00221287-143-10-3305; 10.1038/36786	1.0	Reference proteome	KW-1185	PF10949;		IPR024488;				bsu:BSU10780;					936354;
BSU32340	O32130	reviewed	LYTH_BACSU	L-Ala--D-Glu endopeptidase (EC 3.4.-.-) (Peptidoglycan hydrolase) (Sporulation-specific endopeptidase)	lytH yunA yutA BSU32340	Bacillus subtilis (strain 168)	326		10.1038/36786; 10.1128/jb.185.13.3813-3820.2003	3.0	Cell cycle;Cell wall biogenesis/degradation;Differentiation;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Sporulation;Zinc	KW-0131; KW-0961; KW-0221; KW-0378; KW-0479; KW-0482; KW-0645; KW-1185; KW-0732; KW-0749; KW-0862	PF01551;	cd12797;	IPR050570;IPR011055;IPR016047;		Peptidase M23B family	PTHR21666:SF289;PTHR21666;	bsu:BSU32340;	M23.010;		cell differentiation [GO:0030154]; cell wall organization [GO:0071555]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; cell differentiation [GO:0030154]; cell wall organization [GO:0071555]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	936510;
BSU16800	P21458	reviewed	SP3E_BACSU	DNA translocase SpoIIIE (Stage III sporulation protein E)	spoIIIE ftsK BSU16800	Bacillus subtilis (strain 168)	787		10.1099/00221287-133-9-2359; 10.1111/j.1365-2958.1989.tb00275.x; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1126/science.8160014; 10.1073/pnas.96.25.14553; 10.1126/science.290.5493.995; 10.1126/science.1066274; 10.1128/jb.185.6.2005-2008.2003; 10.1111/j.1365-2958.2005.05004.x; 10.1016/j.cell.2007.11.009; 10.1128/jb.01949-06; 10.1111/j.1365-2958.2007.05981.x; 10.1111/j.1365-2958.2007.05992.x; 10.1101/gad.1684008; 10.1038/nsmb.1412; 10.1016/j.cub.2008.07.047; 10.1111/j.1365-2958.2009.06893.x; 10.1111/j.1365-2958.2009.06894.x; 10.1101/gad.1925210	5.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-1185; KW-0749; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;	bsu:BSU16800;			cell division [GO:0051301]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	936503;
BSU13400	O34398	reviewed	LIGD_BACSU	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400	Bacillus subtilis (strain 168)	611		10.1038/36786; 10.1126/science.1074584; 10.1016/j.jmb.2006.01.059; 10.1128/jb.00018-07	5.0	ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Ligase;Manganese;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Sporulation;Transferase	KW-0067; KW-0227; KW-0233; KW-0234; KW-0238; KW-0239; KW-0269; KW-0378; KW-0436; KW-0464; KW-0479; KW-0511; KW-0540; KW-0547; KW-0548; KW-1185; KW-0749; KW-0808	PF01068;PF21686;	cd07906;cd04866;	IPR012310;IPR014146;IPR033652;IPR014145;IPR014143;IPR052171;	TIGR02778;TIGR02779;TIGR02776;	LigD polymerase family; ATP-dependent DNA ligase family	PTHR42705;PTHR42705:SF2;	bsu:BSU13400;			DNA recombination [GO:0006310]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; DNA-directed DNA polymerase activity [GO:0003887]; exonuclease activity [GO:0004527]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	939372;
BSU27760	O05390	reviewed	CSBX_BACSU	Alpha-ketoglutarate permease	csbX BSU27760	Bacillus subtilis (strain 168)	435		10.1099/00221287-143-1-157; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1016/s0378-1119(96)00770-6	2.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133; KW-0813	PF07690;	cd17337;	IPR011701;IPR020846;IPR036259;IPR004748;	TIGR00897;	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family, CsbX subfamily	PTHR23513;PTHR23513:SF6;	bsu:BSU27760;				plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	937527;
BSU19720	O34466	reviewed	YODR_BACSU	Probable coenzyme A transferase subunit beta (EC 2.8.3.-) (Probable CoA-transferase subunit beta)	yodR yokO BSU19720	Bacillus subtilis (strain 168)	217		10.1093/dnares/5.3.195; 10.1038/36786	2.0	Reference proteome;Transferase	KW-1185; KW-0808	PF01144;		IPR012791;IPR004165;IPR037171;	TIGR02428;	3-oxoacid CoA-transferase subunit B family	PTHR13707;PTHR13707:SF57;	bsu:BSU19720;				CoA-transferase activity [GO:0008410]	940048;
BSU17650	P94495	reviewed	YNCE_BACSU	Uncharacterized protein YncE	yncE BSU17650	Bacillus subtilis (strain 168)	153		10.1038/36786; 10.1099/mic.0.027839-0	1.0	Reference proteome	KW-1185	PF10903;		IPR020216;				bsu:BSU17650;					939573;
BSU19740	O34662	reviewed	YODT_BACSU	Uncharacterized aminotransferase YodT (EC 2.6.-.-)	yodT yokM BSU19740	Bacillus subtilis (strain 168)	444		10.1093/dnares/5.3.195; 10.1038/36786	2.0	Aminotransferase;Pyridoxal phosphate;Reference proteome;Transferase	KW-0032; KW-0663; KW-1185; KW-0808	PF00202;	cd00610;	IPR005814;IPR049704;IPR015424;IPR015421;IPR015422;		Class-III pyridoxal-phosphate-dependent aminotransferase family	PTHR43094;PTHR43094:SF1;	bsu:BSU19740;				pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	940050;
BSU38130	P39603	reviewed	YWCE_BACSU	Spore morphogenesis and germination protein YwcE	ywcE BSU38130 ipa-41r	Bacillus subtilis (strain 168)	87		10.1111/j.1365-2958.1993.tb01963.x; 10.1038/36786; 10.1128/jb.187.18.6443-6453.2005	3.0	Cell membrane;Germination;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0309; KW-0472; KW-1185; KW-0812; KW-1133	PF17368;		IPR020185;		YwcE family		bsu:BSU38130;			spore germination [GO:0009847]	outer endospore membrane [GO:0043594]; plasma membrane [GO:0005886]; spore germination [GO:0009847]	86871560;937296;
BSU25060	P54483	reviewed	YQFZ_BACSU	Uncharacterized protein YqfZ	yqfZ BSU25060	Bacillus subtilis (strain 168)	99		10.1099/13500872-142-11-3103; 10.1038/36786	2.0	Cell wall;Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix	KW-0134; KW-0472; KW-1185; KW-0964; KW-0812; KW-1133		cd00118;	IPR018392;IPR036779;				bsu:BSU25060;				extracellular region [GO:0005576]; membrane [GO:0016020]	938027;
BSU23530	P37873	reviewed	SP2M_BACSU	Stage II sporulation protein M	spoIIM BSU23530	Bacillus subtilis (strain 168)	214		10.1128/jb.175.11.3607-3617.1993; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1101/gad.1039902; 10.1111/j.1365-2958.2007.05652.x	4.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF01944;		IPR014196;IPR002798;	TIGR02831;			bsu:BSU23530;			positive regulation of cell septum assembly [GO:1901893]; regulation of sporulation resulting in formation of a cellular spore [GO:0042173]; sporulation resulting in formation of a cellular spore [GO:0030435]	cell septum [GO:0030428]; plasma membrane [GO:0005886]; positive regulation of cell septum assembly [GO:1901893]; regulation of sporulation resulting in formation of a cellular spore [GO:0042173]; sporulation resulting in formation of a cellular spore [GO:0030435]	938723;
BSU10790	O05272	reviewed	ASNO_BACSU	Asparagine synthetase [glutamine-hydrolyzing] 3 (EC 6.3.5.4)	asnO yisO yucB BSU10790	Bacillus subtilis (strain 168)	614		10.1099/00221287-143-10-3305; 10.1038/36786; 10.1128/jb.181.19.6081-6091.1999	4.0	Amino-acid biosynthesis;Asparagine biosynthesis;ATP-binding;Glutamine amidotransferase;Ligase;Nucleotide-binding;Reference proteome;Sporulation	KW-0028; KW-0061; KW-0067; KW-0315; KW-0436; KW-0547; KW-1185; KW-0749	PF00733;PF13537;	cd01991;cd00712;	IPR006426;IPR001962;IPR051786;IPR033738;IPR017932;IPR029055;IPR014729;	TIGR01536;	Asparagine synthetase family	PTHR43284:SF1;PTHR43284;	bsu:BSU10790;			L-asparagine biosynthetic process [GO:0070981]; sporulation resulting in formation of a cellular spore [GO:0030435]	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; L-asparagine biosynthetic process [GO:0070981]; sporulation resulting in formation of a cellular spore [GO:0030435]	939783;
BSU19710	O34984	reviewed	YODQ_BACSU	Uncharacterized metallohydrolase YodQ (EC 3.-.-.-)	yodQ argE yokP BSU19710	Bacillus subtilis (strain 168)	436		10.1093/dnares/5.3.195; 10.1038/36786	2.0	Cobalt;Hydrolase;Metal-binding;Reference proteome;Zinc	KW-0170; KW-0378; KW-0479; KW-1185; KW-0862	PF07687;PF01546;	cd03895;	IPR010182;IPR036264;IPR002933;IPR011650;IPR050072;IPR033687;	TIGR01910;	Peptidase M20A family	PTHR43808;PTHR43808:SF25;	bsu:BSU19710;	M20.A21;			hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	940044;
BSU31590	O05257	reviewed	YUFS_BACSU	Uncharacterized protein YufS	yufS BSU31590	Bacillus subtilis (strain 168)	71		10.1099/00221287-143-8-2769; 10.1038/36786	1.0	Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0812; KW-1133							bsu:BSU31590;				membrane [GO:0016020]	938856;
BSU17990	P71031	reviewed	SSPO_BACSU	Small, acid-soluble spore protein O (SASP O)	sspO cotK BSU17990	Bacillus subtilis (strain 168)	48		10.1128/jb.179.6.1887-1897.1997; 10.1038/36786; 10.1128/jb.180.24.6704-6712.1998; 10.1016/s0378-1119(00)00125-6	3.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749	PF08175;		IPR012613;	TIGR02864;	SspO family		bsu:BSU17990;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	86873686;938222;
BSU18710	O31832	reviewed	YOZF_BACSU	Uncharacterized protein YozF	yozF BSU18710	Bacillus subtilis (strain 168)	165		10.1038/36786; 10.1099/mic.0.027839-0	1.0	Reference proteome;Signal	KW-1185; KW-0732							bsu:BSU18710;					939598;
