Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Virus hosts	Annotation	Keywords	Keyword ID
P0A373	reviewed	CR1BA_BACTK	Pesticidal crystal protein Cry1Ba (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(a))	cry1Ba cryA4 cryIB(a)	Bacillus thuringiensis subsp. kurstaki	1228		10.1093/nar/16.6.2723		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P0A374	reviewed	CR1BA_BACTE	Pesticidal crystal protein Cry1Ba (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(a))	cry1Ba cryA4 cryIB(a)	Bacillus thuringiensis subsp. entomocidus	1228				2.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
O85805	reviewed	CR1BE_BACTU	Pesticidal crystal protein Cry1Be (139 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(e))	cry1Be 158C2B cryIB(e)	Bacillus thuringiensis	1227				3.0	3D-structure;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0614; KW-0749; KW-0800; KW-0843
P56955	reviewed	CR5AC_BACTU	Pesticidal crystal protein Cry5Ac (135 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVA(c))	cry5Ac cryVA(c)	Bacillus thuringiensis	1220				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45715	reviewed	CR1KA_BACTM	Pesticidal crystal protein Cry1Ka (137 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIK(a))	cry1Ka cry1K cryIK(a)	Bacillus thuringiensis subsp. morrisoni	1215		10.1111/j.1574-6968.1995.tb07931.x		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P0A375	reviewed	CR1CA_BACTE	Pesticidal crystal protein Cry1Ca (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIC(a))	cry1Ca cryIC cryIC(a)	Bacillus thuringiensis subsp. entomocidus	1189		10.1093/nar/16.13.6240		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P0A376	reviewed	CR1CA_BACTA	Pesticidal crystal protein Cry1Ca (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIC(a))	cry1Ca cryIC cryIC(a)	Bacillus thuringiensis subsp. aizawai	1189		10.1111/j.1365-2958.1989.tb01812.x		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45710	reviewed	C14AA_BACTS	Pesticidal crystal protein Cry14Aa (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXIVA(a))	cry14Aa cryXIVA(a)	Bacillus thuringiensis subsp. sotto	1186				2.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q03748	reviewed	CR1AE_BACTL	Pesticidal crystal protein Cry1Ae (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(e))	cry1Ae cryIA(e) endI	Bacillus thuringiensis subsp. alesti	1181		10.1128/jb.173.20.6635-6638.1991		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P16480	reviewed	CR4AA_BACTI	Pesticidal crystal protein Cry4Aa (135 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIVA(a))	cry4Aa cryIVA(a) isrH4	Bacillus thuringiensis subsp. israelensis	1180		10.1080/00021369.1988.10868734; 10.1093/nar/15.17.7195; 10.1016/0014-5793(94)00604-0		3.0	3D-structure;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0614; KW-0749; KW-0800; KW-0843
Q03744	reviewed	CR1AD_BACTA	Pesticidal crystal protein Cry1Ad (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(d))	cry1Ad cryIA(d)	Bacillus thuringiensis subsp. aizawai	1179				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P05068	reviewed	CR1AC_BACTK	Pesticidal crystal protein Cry1Ac (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(c))	cry1Ac cry1A(c) cry218 cryIA(c)	Bacillus thuringiensis subsp. kurstaki	1178		10.1016/0378-1119(85)90184-2; 10.1007/s002849900154		3.0	3D-structure;Genetically modified food;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0308; KW-0614; KW-0749; KW-0800; KW-0843
P0A366	reviewed	CR1AA_BACTK	Pesticidal crystal protein Cry1Aa (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(a))	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp	Bacillus thuringiensis subsp. kurstaki	1176	Q9XY09	10.1016/s0021-9258(18)88966-9; 10.1016/s0021-9258(18)33082-5; 10.1006/jmbi.1995.0630		3.0	3D-structure;Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0002; KW-0903; KW-0749; KW-0800; KW-0843
P0A367	reviewed	CR1AA_BACTA	Pesticidal crystal protein Cry1Aa (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(a))	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp	Bacillus thuringiensis subsp. aizawai	1176				3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843
P0A368	reviewed	CR1AA_BACTE	Pesticidal crystal protein Cry1Aa (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(a))	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp	Bacillus thuringiensis subsp. entomocidus	1176		10.1093/nar/17.1.446		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P56953	reviewed	CR1CB_BACTG	Pesticidal crystal protein Cry1Cb (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIC(b))	cry1Cb cryIC(b)	Bacillus thuringiensis subsp. galleriae	1176		10.1128/aem.59.4.1131-1137.1993		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q9S515	reviewed	CR1AG_BACTU	Pesticidal crystal protein Cry1Ag (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(g))	cry1Ag cry1 cryIA(g)	Bacillus thuringiensis	1176				3.0	Plasmid;Sporulation;Toxin;Virulence	KW-0614; KW-0749; KW-0800; KW-0843
Q03745	reviewed	CR1EB_BACTA	Pesticidal crystal protein Cry1Eb (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIE(b))	cry1Eb cryIE(b)	Bacillus thuringiensis subsp. aizawai	1174				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q03746	reviewed	CR1FA_BACTA	Pesticidal crystal protein Cry1Fa (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIF(a))	cry1Fa cryIF cryIF(a)	Bacillus thuringiensis subsp. aizawai	1174		10.1128/jb.173.13.3966-3976.1991		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843
Q45748	reviewed	CR1HA_BACTU	Pesticidal crystal protein Cry1Ha (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIH(a))	cry1Ha cryIH(a)	Bacillus thuringiensis	1172				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q57458	reviewed	CR1EA_BACTX	Pesticidal crystal protein Cry1Ea (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIE(a))	cry1Ea bt11 btxI cryIC(b) cryIE(a)	Bacillus thuringiensis subsp. kenyae	1171		10.1093/nar/18.24.7443; 10.1128/jb.172.12.6783-6788.1990		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45716	reviewed	CR1JB_BACTU	Pesticidal crystal protein Cry1Jb (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIJ(b))	cry1Jb cryET1 cryIJ(b)	Bacillus thuringiensis	1170				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
O06014	reviewed	CR9DA_BACTP	Pesticidal crystal protein Cry9Da (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIXD(a))	cry9Da cryIXD(a)	Bacillus thuringiensis subsp. japonensis	1169				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
O66377	reviewed	CR1FB_BACTM	Pesticidal crystal protein Cry1Fb (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIF(b))	cry1Fb cryIF(b) cryINA67-1	Bacillus thuringiensis subsp. morrisoni	1169				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45705	reviewed	CR8BA_BACUK	Pesticidal crystal protein Cry8Ba (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIIB(a))	cry8Ba 50C(b) cryVIIIB(a)	Bacillus thuringiensis serovar kumamotoensis	1169				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q9ZAZ6	reviewed	CR1GB_BACTZ	Pesticidal crystal protein Cry1Gb (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIG(b))	cry1Gb cryH2 cryIG(b)	Bacillus thuringiensis subsp. wuhanensis	1169		10.1007/s002849910046		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P56956	reviewed	C21AA_BACTU	Pesticidal crystal protein Cry21Aa (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXXIA(a))	cry21Aa cryXXIA(a)	Bacillus thuringiensis	1167				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45738	reviewed	CR1JA_BACTU	Pesticidal crystal protein Cry1Ja (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIJ(a))	cry1Ja cryET4 cryIJ(a)	Bacillus thuringiensis	1167				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45746	reviewed	CR1GA_BACTU	Pesticidal crystal protein Cry1Ga (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIG(a))	cry1Ga cryIG(a)	Bacillus thuringiensis	1166				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P19415	reviewed	CR1DA_BACTA	Pesticidal crystal protein Cry1Da (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryID(a))	cry1Da bt4 cryID cryID(a)	Bacillus thuringiensis subsp. aizawai	1165		10.1093/nar/18.18.5545		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843
Q9X597	reviewed	C26AA_BACTF	Pesticidal crystal protein Cry26Aa (131 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXXVIA(a))	cry26Aa cry26Aa1 cryXXVIA(a)	Bacillus thuringiensis subsp. finitimus	1163		10.1016/s0014-5793(99)00650-x		3.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843
Q45706	reviewed	CR8CA_BACTP	Pesticidal crystal protein Cry8Ca (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIIC(a))	cry8Ca cryIII cryVIIIC(a)	Bacillus thuringiensis subsp. japonensis	1160		10.1007/bf01575980; 10.1111/j.1365-2672.1994.tb01633.x		3.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843
Q45747	reviewed	CR1DB_BACTU	Pesticidal crystal protein Cry1Db (131 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryID(b))	cry1Db cryID(b)	Bacillus thuringiensis	1160				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45704	reviewed	CR8AA_BACUK	Pesticidal crystal protein Cry8Aa (131 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIIA(a))	cry8Aa cryVIIIA(a)	Bacillus thuringiensis serovar kumamotoensis	1157				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45733	reviewed	CR9CA_BACTO	Pesticidal crystal protein Cry9Ca (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIXC(a))	cry9Ca cryIXC(a)	Bacillus thuringiensis subsp. tolworthi	1157		10.1128/aem.62.1.80-86.1996		3.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843
Q99031	reviewed	CR9AA_BACTG	Pesticidal crystal protein Cry9Aa (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIXA(a))	cry9Aa cryIG cryIVA(a)	Bacillus thuringiensis subsp. galleriae	1156		10.1016/0014-5793(91)81144-w; 10.1099/00221287-138-1-55		3.0	Direct protein sequencing;Sporulation;Toxin;Virulence	KW-0903; KW-0749; KW-0800; KW-0843
P0A370	reviewed	CR1AB_BACTK	Pesticidal crystal protein Cry1Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(b))	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1	Bacillus thuringiensis subsp. kurstaki	1155		10.1016/0378-1119(86)90357-4; 10.1128/jb.166.3.801-811.1986; 10.1038/nbt0887-807; 10.1016/0168-1656(87)90061-7; 10.1139/w99-032		3.0	Genetically modified food;Plasmid;Sporulation;Toxin;Virulence	KW-0308; KW-0614; KW-0749; KW-0800; KW-0843
P0A371	reviewed	CR1AB_BACTB	Pesticidal crystal protein Cry1Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(b))	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1	Bacillus thuringiensis subsp. berliner	1155	Q8MZK3	10.1089/dna.1986.5.305; 10.1111/j.1432-1033.1986.tb10443.x		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P0A372	reviewed	CR1AB_BACTA	Pesticidal crystal protein Cry1Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(b))	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1	Bacillus thuringiensis subsp. aizawai	1155		10.1016/0378-1119(87)90098-9; 10.1093/nar/16.22.10927; 10.1016/0022-2836(89)90094-6		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843
Q45718	reviewed	CR1HB_BACTM	Pesticidal crystal protein Cry1Hb (131 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIH(b))	cry1Hb cryIH(b)	Bacillus thuringiensis subsp. morrisoni	1155				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q9ZNL9	reviewed	CR9EA_BACTA	Pesticidal crystal protein Cry9Ea (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIXE(a))	cry9Ea cryIXE(a)	Bacillus thuringiensis subsp. aizawai	1150				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q03749	reviewed	CR7AA_BACTU	Pesticidal crystal protein Cry7Aa (129 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIA(a))	cry7Aa cryIIIc cryVIIA(a)	Bacillus thuringiensis	1138		10.1128/aem.58.8.2536-2542.1992		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45707	reviewed	CR7AB_BACUA	Pesticidal crystal protein Cry7Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIA(b))	cry7Ab cryVIIA(b)	Bacillus thuringiensis subsp. dakota	1138				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45708	reviewed	CR7AB_BACUK	Pesticidal crystal protein Cry7Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryVIIA(b))	cry7Ab cryVIIA(b)	Bacillus thuringiensis serovar kumamotoensis	1138				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P05519	reviewed	CR4BA_BACTI	Pesticidal crystal protein Cry4B protoxin (128 kDa crystal protein) (130 kDa mosquito-larvicidal delta-endotoxin) (Bt8) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIVB(a)) (Pesticidal crystal protein Cry4Ba protoxin)	cry4Ba bt8 cry4B cryD2 cryIVB(a) isrH3	Bacillus thuringiensis subsp. israelensis	1136		10.1093/nar/16.4.1637; 10.1111/j.1432-1033.1988.tb13960.x; 10.1080/00021369.1988.10868734; 10.1016/0378-1119(88)90229-6; 10.1007/bf00328128; 10.1242/jcs.60.1.181; 10.1016/0006-291x(85)90278-5; 10.1128/aem.69.9.5343-5353.2003; 10.1021/bi7023578; 10.1177/1535370213477973; 10.1177/1535370213493719; 10.1177/15353702231188072; 10.1016/j.jmb.2005.02.013; 10.1074/jbc.m114.627554; 10.1016/j.bbrc.2022.06.065; 10.2987/8756-971x(2007)23[133:btsiab]2.0.co;2		5.0	3D-structure;Direct protein sequencing;Magnesium;Plasmid;Signal;Sporulation;Toxin;Virulence	KW-0002; KW-0903; KW-0460; KW-0614; KW-0732; KW-0749; KW-0800; KW-0843
Q9X682	reviewed	C28AA_BACTF	Pesticidal crystal protein Cry28Aa (126 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXXVIIIA(a))	cry28Aa cryXXVIIIA(a)	Bacillus thuringiensis subsp. finitimus	1109		10.1016/s0014-5793(99)00650-x		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
P0A369	reviewed	CR1AA_BACTS	Pesticidal crystal protein Cry1Aa (133 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(a))	cry1Aa cry-1-1 cry1A(a) cryA crybns3-1 cryIA(a) icp	Bacillus thuringiensis subsp. sotto	934		10.1016/0378-1119(85)90133-7		3.0	Plasmid;Sporulation;Toxin;Virulence	KW-0614; KW-0749; KW-0800; KW-0843
P96315	reviewed	CR1AF_BACTU	Pesticidal crystal protein Cry1Af (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(f))	cry1Af cryIA(f) icp	Bacillus thuringiensis	911				3.0	Plasmid;Sporulation;Toxin;Virulence	KW-0614; KW-0749; KW-0800; KW-0843
P37475	reviewed	SP2E_BACSU	Stage II sporulation protein E (EC 3.1.3.16) (Stage II sporulation protein H)	spoIIE spoIIH BSU00640	Bacillus subtilis (strain 168)	827	P45870; P16971	10.1093/dnares/1.1.1; 10.1046/j.1365-2958.1996.433963.x; 10.1038/36786; 10.1128/jb.170.4.1598-1609.1988; 10.1128/jb.176.5.1451-1459.1994; 10.1126/science.270.5236.641		4.0	3D-structure;Cell membrane;Hydrolase;Membrane;Protein phosphatase;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0002; KW-1003; KW-0378; KW-0472; KW-0904; KW-1185; KW-0749; KW-0812; KW-1133
Q9S597	reviewed	C27AA_BACUH	Pesticidal crystal protein Cry27Aa (94 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXXVIIA(a))	cry27Aa cryXXVIIA(a)	Bacillus thuringiensis subsp. higo	826				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q45755	reviewed	C13AA_BACTU	Pesticidal crystal protein Cry13Aa (88 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXIIIA(a))	cry13Aa cryVC cryXIIIA(a)	Bacillus thuringiensis	803				3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843
Q9K2S2	reviewed	MRPA_BACSU	Na(+)/H(+) antiporter subunit A (Mrp complex subunit A) (Multiple resistance and pH homeostasis protein A)	mrpA ntrA shaA yufT BSU31600	Bacillus subtilis (strain 168)	801		10.1099/00221287-143-8-2769; 10.1038/36786; 10.1016/s0005-2728(98)00157-1; 10.1128/jb.181.8.2394-2402.1999; 10.1128/jb.182.4.898-904.2000; 10.1016/s0014-5793(01)02417-6; 10.1128/jb.00021-07; 10.1128/jb.00968-07		4.0	Antiport;Cell membrane;Hydrogen ion transport;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Sporulation;Transmembrane;Transmembrane helix;Transport	KW-0050; KW-1003; KW-0375; KW-0406; KW-0472; KW-1185; KW-0915; KW-0739; KW-0749; KW-0812; KW-1133; KW-0813
P21458	reviewed	SP3E_BACSU	DNA translocase SpoIIIE (Stage III sporulation protein E)	spoIIIE ftsK BSU16800	Bacillus subtilis (strain 168)	787		10.1099/00221287-133-9-2359; 10.1111/j.1365-2958.1989.tb00275.x; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1126/science.8160014; 10.1073/pnas.96.25.14553; 10.1126/science.290.5493.995; 10.1126/science.1066274; 10.1128/jb.185.6.2005-2008.2003; 10.1111/j.1365-2958.2005.05004.x; 10.1016/j.cell.2007.11.009; 10.1128/jb.01949-06; 10.1111/j.1365-2958.2007.05981.x; 10.1111/j.1365-2958.2007.05992.x; 10.1101/gad.1684008; 10.1038/nsmb.1412; 10.1016/j.cub.2008.07.047; 10.1111/j.1365-2958.2009.06893.x; 10.1111/j.1365-2958.2009.06894.x; 10.1101/gad.1925210		5.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-1185; KW-0749; KW-0812; KW-1133
Q9RNV1	reviewed	FTSK_SPOUR	DNA translocase FtsK (DNA translocase SpoIIIE)	ftsK spoIIIE	Sporosarcina ureae	780		10.1046/j.1365-2958.2000.01731.x		4.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Sporulation;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-0749; KW-0812; KW-1133
