	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_19	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	19	10583	10744	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_20	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	20	10866	11534	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_21	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	21	11537	11677	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_22	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	22	12183	12464	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_23	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	23	12498	12956	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_24	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	24	13173	13343	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_25	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	25	13439	13660	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_26	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	26	14152	14415	-1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_27	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	27	14513	15601	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_28	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	28	15598	16059	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_29	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	29	16073	16381	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_30	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	30	16470	16772	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_31	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	31	16785	17078	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_32	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	32	17091	17345	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_33	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	33	17342	17629	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_34	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	34	17645	17950	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_35	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	35	18021	18380	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_36	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	36	18364	18675	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_37	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	37	18665	18934	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_38	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	38	18921	19226	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_39	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	39	19256	19657	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_40	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	40	19674	19964	1	D										Phage protein (N4 Gp49/phage Sf6 gene 66) family [PF13876.11]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_41	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	41	20026	20394	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_42	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	42	20463	21185	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_43	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	43	21151	21399	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_44	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	44	21451	21870	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_45	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	45	21854	22090	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_46	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	46	22136	22618	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_47	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	47	22677	23249	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_48	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	48	23317	24960	1	D										Phage terminase large subunit gpA, ATPase domain [PF05876.18]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_49	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	49	24975	25598	1	D										ParB/Sulfiredoxin domain [PF02195.24]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_50	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	50	25687	26382	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_51	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	51	26448	26810	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_52	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	52	26935	27879	1	D										Repressor Rok winged helix domain [PF23159.1]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_53	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	53	29659	30972	1	D										Phosphodiester glycosidase [PF09992.14]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_54	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	54	30990	32639	1	D										Rhamnogalacturonase A/epimerase, pectate lyase-like [PF12708.12]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_55	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	55	33475	34362	1	D										PhoH-like protein [PF02562.22]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_56	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	56	34457	34630	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_57	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	57	34630	35361	1	D										3D domain [PF06725.17]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_58	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	58	35517	37787	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.20]; Ribonucleotide reductase, all-alpha domain [PF00317.26]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_59	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	59	37807	38847	1	C	K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]								Ribonucleotide reductase, small chain [PF00268.27]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_60	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	60	38859	39044	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_61	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	61	39050	39184	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_62	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	62	39287	39703	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_63	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	63	39818	41341	1	D										Phage portal protein [PF04860.17]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_64	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	64	41427	42188	1	C	K27771	Herelleviridae head maturation protease													0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_65	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	65	42188	42922	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_66	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	66	42952	44358	1	D										SU10 major capsid protein [PF17236.8]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_67	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	67	44463	44822	1	D										Domain of unknown function (DUF7349) [PF24040.1]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_68	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	68	44839	45573	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_69	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	69	45573	46292	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_70	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	70	46289	46927	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_71	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	71	46964	47821	1	D										Phage termination protein [PF23932.1]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_72	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	72	47818	48021	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_73	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	73	48026	49741	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_74	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	74	49745	50158	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_75	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	75	50254	50673	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_76	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	76	50633	51037	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_77	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	77	51041	53725	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_78	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	78	53737	55905	1	D			MER0723740	C40	MER0723740 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 474-591}~source U5PSN1~	False	1.0	253.0	2.562e-68	NlpC/P60 family [PF00877.25]; 3D domain [PF06725.17]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_79	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	79	55905	56960	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_80	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	80	56962	57651	1	D										Putative phage tail tube initiator protein [PF23980.1]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_81	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	81	57663	58358	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_82	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	82	58360	59016	1	D										Protein of unknown function (DUF2634) [PF10934.13]; Baseplate wedge protein gp25 [PF04965.19]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_83	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	83	59006	60049	1	D										Baseplate J-like protein [PF04865.19]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_84	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	84	60063	61151	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_85	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	85	61164	61670	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_86	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	86	61694	65083	1	D										Domain of unknown function (DUF4815) [PF16075.10]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_87	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	87	65138	65350	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_88	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	88	65364	68447	1	D										Rhamnogalacturonase A/epimerase, pectate lyase-like [PF12708.12]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_89	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	89	68545	69840	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_90	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	90	69867	71957	1	D										Rhamnogalacturonase A/epimerase, pectate lyase-like [PF12708.12]; Periplasmic copper-binding protein (NosD) [PF05048.19]; Right handed beta helix region [PF13229.12]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_91	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	91	71979	72431	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_92	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	92	72446	72649	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_93	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	93	72738	74543	1	D										Rhamnogalacturonase A/epimerase, pectate lyase-like [PF12708.12]; Periplasmic copper-binding protein (NosD) [PF05048.19]; Right handed beta helix region [PF13229.12]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_94	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	94	74685	75164	1	D										Bacteriophage holin family [PF05105.17]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_95	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	95	75227	76258	1	C	K17733	peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	MER0469755	M15C	MER0469755 - Ply500 L-Ala-D-Glu peptidase () [M15.021]#M15C#{peptidase unit: 10-147}~source YP_002300379~	False	1.0	296.0	1.295e-87	D-alanyl-D-alanine carboxypeptidase [PF13539.11]; Putative peptidoglycan binding domain [PF01471.23]; D-alanyl-D-alanine carboxypeptidase [PF02557.22]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_96	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	96	76287	76649	1	D										Bacteriophage holin of superfamily 6 (Holin_LLH) [PF09682.15]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_97	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	97	76895	78478	1	C	K26875	Herelleviridae DNA helicase								Helicase conserved C-terminal domain [PF00271.37]; DNA helicase UvsW, N-terminal [PF21241.2]; Type III restriction enzyme, res subunit [PF04851.21]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_98	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	98	78600	79442	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_99	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	99	79515	80885	1	C	K26878	Bacillus phage helicase DnaB-like								DnaB-like helicase C terminal domain [PF03796.21]; KaiC [PF06745.19]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_100	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	100	80891	81436	1	D										Active DUF488-N3 subclade [PF22751.1]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_101	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	101	81436	82530	1	D										Calcineurin-like phosphoesterase [PF00149.33]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_102	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	102	82544	82840	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_103	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	103	82983	83201	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_104	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	104	83191	83499	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_105	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	105	83483	83827	1	D										Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.29]; APOBEC-like N-terminal domain [PF08210.17]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_106	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	106	83824	85737	1	C	K27443	Herelleviridae exonuclease								AAA domain [PF13476.12]; RecF/RecN/SMC N terminal domain [PF02463.25]; SbcC/RAD50-like, Walker B motif [PF13558.12]; AAA domain [PF13514.12]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_107	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	107	85801	86835	1	D										CHC2 zinc finger [PF01807.25]; Toprim-like [PF13155.12]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_108	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	108	86896	87411	1	C	K01520	dUTP diphosphatase [EC:3.6.1.23]								dUTPase [PF00692.24]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_109	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	109	87404	87736	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_110	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	110	87851	88372	1	D										Phage putative PDDEXK endonuclease [PF24608.1]					0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_111	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	111	88543	89169	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_112	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	112	89372	89638	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_113	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	113	89704	90381	1	E															0
lab_phage_genomes_KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_114	lab_phage_genomes	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	114	90451	90918	1	E															0
