Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Virus hosts	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER
O34398	reviewed	LIGD_BACSU	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400	Bacillus subtilis (strain 168)	611		10.1038/36786; 10.1126/science.1074584; 10.1016/j.jmb.2006.01.059; 10.1128/jb.00018-07		5.0	ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Ligase;Manganese;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Sporulation;Transferase	KW-0067; KW-0227; KW-0233; KW-0234; KW-0238; KW-0239; KW-0269; KW-0378; KW-0436; KW-0464; KW-0479; KW-0511; KW-0540; KW-0547; KW-0548; KW-1185; KW-0749; KW-0808	PF01068;PF21686;	cd07906;cd04866;	IPR012310;IPR014146;IPR033652;IPR014145;IPR014143;IPR052171;	TIGR02778;TIGR02779;TIGR02776;	LigD polymerase family; ATP-dependent DNA ligase family	PTHR42705;PTHR42705:SF2;
O34431	reviewed	ATCL_BACSU	Calcium-transporting ATPase (EC 7.2.2.10) (Calcium pump)	yloB BSU15650	Bacillus subtilis (strain 168)	890		10.1099/00221287-144-3-801; 10.1038/36786; 10.1016/s0143-4160(02)00125-2		5.0	ATP-binding;Calcium;Calcium transport;Cell membrane;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	KW-0067; KW-0106; KW-0109; KW-1003; KW-0406; KW-0460; KW-0472; KW-0479; KW-0547; KW-0597; KW-1185; KW-1278; KW-0812; KW-1133; KW-0813	PF13246;PF00689;PF00690;PF00122;	cd02089;	IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR005782;IPR001757;IPR044492;	TIGR01116;TIGR01494;	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily	PTHR42861;PTHR42861:SF156;
O34507	reviewed	PRKC_BACSU	Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)	prkC yloP BSU15770	Bacillus subtilis (strain 168)	648	P37562; O31435; P96716	10.1038/36786; 10.1128/jb.184.22.6109-6114.2002; 10.1046/j.1365-2958.2002.03178.x; 10.1016/s0022-2836(03)00579-5; 10.1074/mcp.m600464-mcp200; 10.1016/j.cell.2008.08.039; 10.1002/qsar.200730081; 10.1099/mic.0.022475-0; 10.1007/s10822-010-9370-4		5.0	ATP-binding;Germination;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	KW-0067; KW-0309; KW-0418; KW-0472; KW-0547; KW-0597; KW-1185; KW-0677; KW-0723; KW-0735; KW-0808; KW-0812; KW-1133	PF03793;PF00069;PF21160;	cd06577;cd14014;	IPR011009;IPR005543;IPR000719;IPR017441;IPR008271;	NF033483;	Protein kinase superfamily, Ser/Thr protein kinase family	PTHR43289;PTHR43289:SF37;
O34676	reviewed	KAMA_BACSU	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.2) (KAM)	kamA BSU19690	Bacillus subtilis (strain 168)	471		10.1093/dnares/5.3.195; 10.1038/36786; 10.1042/bj3480539; 10.1021/bi002265w; 10.1007/s00253-011-3301-8		5.0	4Fe-4S;Direct protein sequencing;Iron;Iron-sulfur;Isomerase;Metal-binding;Pyridoxal phosphate;Reference proteome;S-adenosyl-L-methionine	KW-0004; KW-0903; KW-0408; KW-0411; KW-0413; KW-0479; KW-0663; KW-1185; KW-0949	PF12544;PF04055;	cd01335;	IPR013785;IPR025895;IPR003739;IPR022459;IPR007197;	TIGR00238;TIGR03820;	Radical SAM superfamily, KamA family	PTHR30538:SF1;PTHR30538;
O34680	reviewed	YDIP_BACSU	Type II methyltransferase M2.BsuMI (M2.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiP) (Cytosine-specific methyltransferase M2.BsuMI)	ydiP BSU06070	Bacillus subtilis (strain 168)	389		10.1093/dnares/4.5.335; 10.1038/36786; 10.1016/0378-1119(88)90256-9; 10.1007/bf00338412; 10.1128/jb.184.2.381-389.2002; 10.1093/nar/gkg274; 10.1093/nar/gkaa266		5.0	Methyltransferase;Reference proteome;Restriction system;S-adenosyl-L-methionine;Transferase	KW-0489; KW-1185; KW-0680; KW-0949; KW-0808	PF00145;		IPR050390;IPR018117;IPR001525;IPR031303;IPR029063;	TIGR00675;	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family	PTHR10629;PTHR10629:SF59;
O34693	reviewed	RQCH_BACSU	Rqc2 homolog RqcH (RqcH) (Ribosome-associated protein quality control protein H)	rqcH yloA BSU15640	Bacillus subtilis (strain 168)	570		10.1038/36786; 10.1099/00221287-144-3-801; 10.1128/aem.00472-07; 10.1016/j.cell.2019.05.002; 10.1038/s41586-022-04487-6; 10.1038/s44318-023-00010-3; 10.1016/j.molcel.2020.11.001; 10.1016/j.molcel.2020.11.002; 10.1093/nar/gkab589; 10.1093/nar/gkae399		5.0	3D-structure;Coiled coil;Protein biosynthesis;Reference proteome;RNA-binding;rRNA-binding;tRNA-binding	KW-0002; KW-0175; KW-0648; KW-1185; KW-0694; KW-0699; KW-0820	PF05670;PF05833;		IPR008532;IPR051608;IPR043682;		NEMF family	PTHR15239;PTHR15239:SF6;
O34928	reviewed	PDAA_BACSU	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-)	pdaA yfjS BSU07980	Bacillus subtilis (strain 168)	263		10.1099/13500872-142-11-3057; 10.1038/36786; 10.1128/jb.184.21.6007-6015.2002; 10.1128/jb.186.1.80-89.2004; 10.1128/jb.187.4.1287-1292.2005; 10.1016/j.febslet.2004.06.013		5.0	3D-structure;Cell wall biogenesis/degradation;Hydrolase;Metal-binding;Reference proteome;Signal;Sporulation	KW-0002; KW-0961; KW-0378; KW-0479; KW-1185; KW-0732; KW-0749	PF01522;	cd10948;	IPR011330;IPR002509;IPR050248;IPR014235;	TIGR02884;	Polysaccharide deacetylase family	PTHR10587;PTHR10587:SF78;
O34939	reviewed	YDIO_BACSU	Type II methyltransferase M1.BsuMI (M1.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiO) (Cytosine-specific methyltransferase M1.BsuMI)	ydiO BSU06060	Bacillus subtilis (strain 168)	427		10.1093/dnares/4.5.335; 10.1038/36786; 10.1016/0378-1119(88)90256-9; 10.1007/bf00338412; 10.1128/jb.184.2.381-389.2002; 10.1093/nar/gkg274; 10.1093/nar/gkaa266		5.0	DNA-binding;Methyltransferase;Reference proteome;Restriction system;S-adenosyl-L-methionine;Transferase	KW-0238; KW-0489; KW-1185; KW-0680; KW-0949; KW-0808	PF00145;		IPR050390;IPR001525;IPR029063;	TIGR00675;	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family	PTHR10629;PTHR10629:SF52;
O35002	reviewed	CTPB_BACSU	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)	ctpB yvjB BSU35240	Bacillus subtilis (strain 168)	480	O35002; P26936	10.1046/j.1365-2958.1998.00747.x; 10.1038/36786; 10.1128/jb.185.20.6051-6056.2003; 10.1016/j.molcel.2006.05.019; 10.1128/jb.00399-07; 10.1016/j.cell.2013.09.050		5.0	3D-structure;Autocatalytic cleavage;Hydrolase;Protease;Reference proteome;Serine protease;Signal;Sporulation	KW-0002; KW-0068; KW-0378; KW-0645; KW-1185; KW-0720; KW-0732; KW-0749	PF22694;PF13180;PF03572;PF01471;	cd00988;cd07560;	IPR029045;IPR055210;IPR001478;IPR036034;IPR004447;IPR002477;IPR036365;IPR036366;IPR005151;	TIGR00225;	Peptidase S41A family	PTHR32060:SF29;PTHR32060;
O35013	reviewed	YTKD_BACSU	Putative 8-oxo-dGTP diphosphatase YtkD (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (dGTP pyrophosphohydrolase)	ytkD mutTA BSU30630	Bacillus subtilis (strain 168)	158		10.1099/00221287-143-11-3431; 10.1038/36786; 10.1128/jb.186.4.1050-1059.2004; 10.1128/jb.186.24.8380-8384.2004; 10.1128/jb.188.6.2285-2289.2006; 10.1128/jb.01210-08		5.0	3D-structure;Hydrolase;Magnesium;Metal-binding;Reference proteome	KW-0002; KW-0378; KW-0460; KW-0479; KW-1185	PF00293;	cd04665;	IPR020476;IPR015797;IPR020084;IPR000086;IPR014078;	TIGR02705;	Nudix hydrolase family	PTHR43736;PTHR43736:SF1;
O88037	reviewed	RAMC_STRCO	Probable SapB synthase (EC 2.7.-.-)	ramC SCO6681	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	930		10.1038/417141a; 10.1128/jb.184.17.4920-4924.2002; 10.1046/j.1365-2958.2002.03004.x; 10.1046/j.1365-2958.2002.03255.x; 10.1073/pnas.0404220101; 10.1111/j.1365-2958.2007.05674.x; 10.1111/j.1365-2958.2012.08041.x		5.0	ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix	KW-0067; KW-1003; KW-0418; KW-0472; KW-0547; KW-1185; KW-0723; KW-0808; KW-0812; KW-1133	PF00069;	cd04791;	IPR053524;IPR011009;IPR007822;IPR000719;	NF038151;	Protein kinase superfamily	
O88038	reviewed	LANSB_STRCO	Lanthionine-containing peptide SapB precursor RamS (ProSapB) [Cleaved into: Lanthionine-containing peptide SapB (Morphogen SapB) (Rapid aerial mycelium protein S) (Spore-associated protein B)]	ramS SCO6682 SC5A7.32	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	42		10.1038/417141a; 10.1016/0092-8674(91)90096-h; 10.1073/pnas.0404220101; 10.1128/jb.170.4.1895-1901.1988; 10.1046/j.1365-2958.1998.01093.x; 10.1046/j.1365-2958.2002.03004.x; 10.1046/j.1365-2958.2002.03255.x; 10.1111/j.1365-2958.2007.05674.x; 10.1111/j.1574-6968.2012.02517.x; 10.1111/j.1365-2958.2012.08041.x		5.0	Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Secreted;Thioether bond	KW-1003; KW-0903; KW-0472; KW-1185; KW-0964; KW-0883	PF19402;		IPR045825;	NF033212;	Lanthionine-containing morphogen family	
P00782	reviewed	SUBT_BACAM	Subtilisin BPN' (EC 3.4.21.62) (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo)	apr	Bacillus amyloliquefaciens (Bacillus velezensis)	382	Q40059	10.1128/jb.159.3.811-819.1984; 10.1093/nar/11.22.7911; 10.1016/s0021-9258(18)99412-3; 10.1016/s1096-4959(02)00183-5; 10.1098/rstb.1970.0014; 10.1016/0022-2836(84)90150-5; 10.1021/bi00444a012; 10.1107/s0907444996007500; 10.1073/pnas.61.4.1440		5.0	3D-structure;Calcium;Direct protein sequencing;Hydrolase;Metal-binding;Protease;Secreted;Serine protease;Signal;Sporulation;Zymogen	KW-0002; KW-0106; KW-0903; KW-0378; KW-0479; KW-0645; KW-0964; KW-0720; KW-0732; KW-0749; KW-0865	PF22148;PF00082;	cd07477;	IPR054399;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR050131;IPR015500;IPR037045;IPR034202;		Peptidase S8 family	PTHR43806:SF59;PTHR43806;
P04189	reviewed	SUBT_BACSU	Subtilisin E (EC 3.4.21.62)	aprE apr aprA sprE BSU10300	Bacillus subtilis (strain 168)	381		10.1128/jb.158.2.411-418.1984; 10.1099/00221287-144-4-859; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1073/pnas.81.4.1184; 10.1016/s0021-9258(18)47646-6; 10.1016/0014-5793(95)01145-5; 10.1128/jb.171.5.2657-2665.1989; 10.1128/jb.170.1.296-300.1988; 10.1016/s0021-9258(18)67507-6; 10.1038/339483a0; 10.1006/jmbi.1998.2161		5.0	3D-structure;Autocatalytic cleavage;Calcium;Direct protein sequencing;Hydrolase;Metal-binding;Protease;Reference proteome;Secreted;Serine protease;Signal;Sporulation;Zymogen	KW-0002; KW-0068; KW-0106; KW-0903; KW-0378; KW-0479; KW-0645; KW-1185; KW-0964; KW-0720; KW-0732; KW-0749; KW-0865	PF05922;PF00082;	cd07477;	IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR050131;IPR015500;IPR010259;IPR037045;IPR034202;		Peptidase S8 family	PTHR43806:SF59;PTHR43806;
P05043	reviewed	SP0E_BACSU	Aspartyl-phosphate phosphatase Spo0E (EC 3.1.3.-) (Stage 0 sporulation protein E) (Stage 0 sporulation regulatory protein Spo0E)	spo0E BSU13640	Bacillus subtilis (strain 168)	85		10.1111/j.1365-2958.1987.tb00536.x; 10.1038/36786; 10.1073/pnas.91.5.1756; 10.1006/bbrc.2000.3911; 10.1046/j.1365-2958.2002.02974.x; 10.1007/s00284-003-4186-2; 10.1074/jbc.m709032200; 10.1099/mic.0.024182-0		5.0	Direct protein sequencing;Hydrolase;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0903; KW-0378; KW-1185; KW-0749; KW-0804; KW-0805	PF09388;		IPR036638;IPR018540;IPR037208;		Spo0E family	
P05519	reviewed	CR4BA_BACTI	Pesticidal crystal protein Cry4B protoxin (128 kDa crystal protein) (130 kDa mosquito-larvicidal delta-endotoxin) (Bt8) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIVB(a)) (Pesticidal crystal protein Cry4Ba protoxin)	cry4Ba bt8 cry4B cryD2 cryIVB(a) isrH3	Bacillus thuringiensis subsp. israelensis	1136		10.1093/nar/16.4.1637; 10.1111/j.1432-1033.1988.tb13960.x; 10.1080/00021369.1988.10868734; 10.1016/0378-1119(88)90229-6; 10.1007/bf00328128; 10.1242/jcs.60.1.181; 10.1016/0006-291x(85)90278-5; 10.1128/aem.69.9.5343-5353.2003; 10.1021/bi7023578; 10.1177/1535370213477973; 10.1177/1535370213493719; 10.1177/15353702231188072; 10.1016/j.jmb.2005.02.013; 10.1074/jbc.m114.627554; 10.1016/j.bbrc.2022.06.065; 10.2987/8756-971x(2007)23[133:btsiab]2.0.co;2		5.0	3D-structure;Direct protein sequencing;Magnesium;Plasmid;Signal;Sporulation;Toxin;Virulence	KW-0002; KW-0903; KW-0460; KW-0614; KW-0732; KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P06534	reviewed	SP0A_BACSU	Stage 0 sporulation protein A (Stage 0 sporulation protein C) (Stage 0 sporulation protein G)	spo0A spo0C spo0G BSU24220	Bacillus subtilis (strain 168)	267		10.1073/pnas.82.9.2665; 10.1007/bf00422059; 10.1073/pnas.82.9.2647; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1046/j.1365-2958.1997.2091573.x; 10.1099/00221287-134-12-3249; 10.1016/s0022-2836(05)80357-2; 10.1016/s0969-2126(02)00803-1		5.0	3D-structure;Activator;Calcium;Cytoplasm;DNA-binding;Metal-binding;Phosphoprotein;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation;Two-component regulatory system	KW-0002; KW-0010; KW-0106; KW-0963; KW-0238; KW-0479; KW-0597; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805; KW-0902	PF00072;PF08769;	cd17561;	IPR011006;IPR016032;IPR001789;IPR014879;IPR012052;IPR039420;IPR036388;	TIGR02875;		PTHR48111;PTHR48111:SF1;
P06575	reviewed	BINA1_LYSSH	Binary larvicide subunit BinA (41.9 kDa insecticidal toxin) (Binary paracrystalline larvicide subunit BinA)	binA	Lysinibacillus sphaericus (Bacillus sphaericus)	370		10.1093/nar/15.14.5891; 10.1128/jb.170.5.2045-2050.1988; 10.1111/j.1365-2958.1987.tb00511.x; 10.1093/nar/17.18.7516; 10.1128/jb.163.2.738-747.1985; 10.1128/aem.53.6.1333-1337.1987; 10.1128/aem.52.4.758-764.1986; 10.1007/BF02199438; 10.1128/jb.175.2.510-518.1993; 10.1038/nature19825		5.0	3D-structure;Direct protein sequencing;Disulfide bond;Sporulation;Toxin;Virulence	KW-0002; KW-0903; KW-1015; KW-0749; KW-0800; KW-0843	PF05431;		IPR035992;IPR008872;		Toxin_10 family	
P07788	reviewed	COTA_BACSU	Laccase (EC 1.10.3.2) (Bilirubin oxidase) (EC 1.3.3.5) (Spore coat protein A)	cotA pig BSU06300	Bacillus subtilis (strain 168)	513		10.1099/13500872-142-11-3027; 10.1093/dnares/4.5.335; 10.1038/36786; 10.1016/0022-2836(87)90506-7; 10.1016/0022-2836(88)90536-0; 10.1128/jb.183.18.5426-5430.2001; 10.1074/jbc.m200827200; 10.1107/s0907444902011575; 10.1128/aem.72.1.972-975.2006; 10.1039/c2dt12067d; 10.1007/s12033-018-0103-6; 10.1016/j.bbrc.2021.01.094; 10.1074/jbc.m301251200; 10.1074/jbc.m314000200; 10.1039/b504806k; 10.1042/bj20080166; 10.1186/1472-6807-10-28; 10.1039/b922734b; 10.1107/s0907444911054503; 10.1107/s2053230x1600426x; 10.1002/cbic.201800236		5.0	3D-structure;Copper;Metal-binding;Oxidoreductase;Reference proteome;Repeat;Sporulation	KW-0002; KW-0186; KW-0479; KW-0560; KW-1185; KW-0677; KW-0749	PF00394;PF07731;PF07732;	cd13844;cd13868;cd13891;	IPR011707;IPR001117;IPR011706;IPR045087;IPR008972;		Multicopper oxidase family	PTHR48267:SF1;PTHR48267;
